name_std,symbol_std,ico_successful,softcap_usd,amount raised_usd
bubbletone,UMT,1,,8600000.0
denaro,DAPG,1,,8823281.0
ekash,EKH,1,,10374758.0
iacautounit,ATK,1,,10690364.0
hihealth,HiH,1,2602368.0,180000.0
ebosia,XEBS,1,4800000.0,1000000.0
fr8network,FR8,1,,1213222.0
alprockz,APZ,1,,1315405.0
bitnation,XPAT,1,,1339855.0
moslottery,MOS,1,10000000.0,3130000.0
odem,ODEM,1,,4000000.0
swinca,SWI,1,10000000.0,5325000.0
tefood,TFOOD,1,,19100000.0
echargework,ECHG,1,,40000000.0
cryptoxygen,OXY2,1,3500000.0,400000.0
tentoken,GDEM,1,,576000.0
parsecfrontiers,PARSEC,1,1542144.0,740554.0
treon,TXO,1,4000000.0,1137000.0
citowise,CTW,1,9638400.0,1240000.0
gecoone,GEC,1,,1250000.0
involve,IToken,1,7228800.0,1258530.0
cuprum,Cuprum,1,1500000.0,1358000.0
orca,ORCA,1,,1500000.0
innovaminex,INХ,1,10000000.0,4000000.0
windhanenergy,WHN,1,675763163.52,28724073.0
gymledger,LGR,1,936880.0,210560.0
pathnetwork,PATH,1,,572539.0
scrolltoken,SCRL,1,1204800.0,1000000.0
elyqd,LYQD,1,2000000.0,1835000.0
toyken,Toyken,1,,3500000.0
genevievevc,GXVC,1,,5735000.0
0chain,ZCHN,1,40000000.0,39000000.0
shopin,SHOPIN,1,,41072000.0
moria,MOR,1,,51511179.0
thecollective,CDEX,1,,200000.0
sleecoin,SLEE,1,50000000.0,226712.0
togacoin,TGA,1,500000.0,305120.0
gig9,9Coin,1,1445760.0,340000.0
ethersport,ESC,1,,400000.0
triforcetokens,FORCE,1,,750000.0
tradeplace,EXTP,1,5060160.0,851220.0
wallchain,WALL,1,3000000.0,1000000.0
myriadsio,MRDS,1,,1100000.0
proofoftoss,TOSS,1,2420000.0,1702799.0
hicky,HKY,1,,1731267.0
decentralizedid,DID,1,2500000.0,1978230.0
resto,RESTO,1,6024000.0,2136000.0
assetereum,ASET,1,10000000.0,4191365.0
vicecoin,VCE,1,,5000000.0
orozu,ORO,1,,5015678.0
loyakk,LYK,1,,16200000.0
godbex,GBE,1,20500000.0,17320000.0
4new,FRNC,1,,42100000.0
londonfootballexchange,LFE,1,,71320000.0
cartel,CRTL,1,500000.0,128110.0
katalystcoin,KatalystCoin,1,,280000.0
vuulr,VUU,1,,400000.0
whyral,WRL,1,2168640.0,600000.0
tokenspeed,TSP,1,,654000.0
rebglo,REB,1,6746880.0,694350.0
credits,CX,1,10000000.0,1000000.0
plasmium,PLSM,1,,1230147.0
petfoundation,OPET,1,4819200.0,1385000.0
numoneyexchange,NMX,1,10000000.0,2000000.0
dinerocoin,Dinerocoin,1,,3000000.0
msc,MSC,1,,5337587.0
parcelx,GPX,1,7000000.0,6000000.0
sylo,SYLO,1,25000000.0,10600000.0
kozjin,KOZ,1,,15000000.0
lalaworld,LALA,1,,20000000.0
xinfinity,XIF,1,,22800000.0
cederis,ISP,0,50000.0,55385.0
alivecasino,AL,1,1000000.0,162000.0
mfchain,MFX,1,1204800.0,209000.0
xenialendingcoin,XLT,1,25000000.0,278198.0
greenhashes,GH,1,,300000.0
cures,CURES,1,963840.0,308780.0
webloc,WOK,1,2372000.0,316555.0
blokcoin,BLOKS,1,,320000.0
stopthefakes,STF,1,675000.0,400000.0
quifas,QFS,1,3000000.0,414378.0
synapsecoin,SYP,1,3000000.0,420000.0
