name_std,symbol_std,ico_successful,soft_cap_usd,independent custodian for ico funds_usd
iungo,ing,1,5591550.0,0.0
jibrelnetwork,jnt,1,3219299.0,0.0
kickico,kick,1,13558600.0,0.0
kik,kin,1,50000000.0,0.0
loopring,lrc,1,15113500.0,0.0
lunyr,lun,1,1754000.0,0.0
lykke,lkk,1,1604294.125,0.0
lympolym,lym,1,3207000.0000000005,0.0
maecenas,art,1,3000000.0,0.0
mcap,mcap,1,4077740.0,0.0
mercuryprotocol,gmt,1,6784428.571426536,0.0
micromoney,amm,1,1000000.0,0.0
miniapps,mat,1,1653640000.0,0.0
mirocana,miro,1,1336141.125,0.0
modum,mod,1,1050000.0,0.0
monaco,mco,1,1857300.0,0.0
monetha,mth,1,8440880.0,0.0
moriamor,mor,1,5000000.0,0.0
mothership,msp,1,1585550.082102052,0.0
musiconomi,mci,1,3000000.0,0.0
mysterium,myst,1,2109850.804597701,0.0
naga,ngc,1,45000000.0,0.0
neumark,neu,1,5026603.5,0.0
oax,oax,1,7422286.287289929,0.0
origintrail,trac,1,,0.0
oxycoin,oxy,1,3488105.5,0.0
pally,pal,1,1387970.75,0.0
patientory,ptoy,1,370051.3578231536,0.0
peerplays,ppy,1,4500000.0,0.0
pillar,plr,1,,0.0
poet,poe,1,1000000.0,0.0
polkadot,dot,1,,1.0
powerledger,powr,1,13200000.0,0.0
primalbasetoken,pbt,1,7588349.999999999,0.0
privatix,prix,1,1640701.375,0.0
publica,pbl,1,500000.0,0.0
qash,qash,1,12362800.0,0.0
qbao,qbt,1,2954000.0,0.0
qlink,qlc,1,20005200.0,0.0
realt,realt,1,1223520.0,0.0
rentberryberry,berry,1,3000000.0,0.0
rialto,xrl,1,1000000.0,0.0
ripiocreditnetwork,rcn,1,31795312.0,0.0
rivetz,rvt,1,,0.0
santimentnetworktoken,san,1,7256790.0,0.0
selfkey,key,1,18250000.0,0.0
seratioproject,ser,1,4442853.0,0.0
simpletoken,ost,1,3943390.6962605775,0.0
singulardtv,sngls,1,500000.0,0.0
skincoin,skin,1,1091500.0,0.0
sociall,scl,1,73664.70588235332,0.0
sola,sola,1,750000.0,0.0
spectiv,sig,1,5194246.5,0.0
spectre,sxut,1,994864.8648649744,0.0
sphreair,xid,1,,0.0
sportyco,spf,1,1500000.0,0.0
srg,srg,1,3000000.0,0.0
starbase,star,1,1000000.0,0.0
starta,sta,1,1500000.0,0.0
storiqa,stq,1,10231943.0,0.0
storj,storj,1,10000000.0,0.0
stox,stx,1,20000000.0,0.0
substratum,sub,1,213910.0,0.0
suncontract,snc,1,1033550.0,0.0
suretly,sur,1,2246071.8125,0.0
swissborg,chsb,1,5112474.437627812,0.0
synereo,amp,1,720763.125,0.0
targetcoin,tgt,1,,0.0
telcoin,tel,1,10000000.0,0.0
timenewbank,tnb,1,9498200.0,0.0
tradetoken,tio,1,5000000.0,0.0
unikoingold,ukg,1,15000000.0,0.0
uptoken,up,1,10000000.0,0.0
utrust,utk,1,10000000.0,0.0
viberate,vib,1,1000000.0,0.0
wabi,wabi,1,300000.0,0.0
wagerr,wgr,1,389908.2568807337,0.0
wax,wax,1,7182336.0,0.0
wetrust,trst,1,1200370.0,0.0
xpa,xpa,1,6000000.0,0.0
zengold,zengold,1,,0.0
zrcoin,zrc,1,3500000.0,0.0
