,coin_ticker,received_money,sold_coins,role_of_token,category,goal,total_tokens,interest,fundraising_goal,start_end_date_coin_sell,ico_token_price,received_money,end_date,token_type,available_for_token_sale,min_max_personal_cap,whitelist,accepts,token_issue,cant_participate
2426,XLD Finance,"$13,000,000 ",null,Utility,Finance,Not Set,null,Not Rated,null,period isn't set,null,"$13,000,000 ",		DATE: TBA		,ERC20,null,null,null,null,null,null
2427,FitR,Pending ,null,Utility,Blockchain Service,Pending,"2,000,000,000",Not Rated,null,period isn't set,null,Pending ,		DATE: TBA		,ERC20,null,null,null,null,null,null
2428,ZeroDAO,"$1,300,000 ",null,Utility,Protocol,Not Set,null,Not Rated,null,period isn't set,null,"$1,300,000 ",		DATE: TBA		,ERC20,null,null,null,null,null,null
2429,Draup,"$1,500,000 ",null,Utility,Platform,Not Set,null,Not Rated,null,period isn't set,null,"$1,500,000 ",		DATE: TBA		,ERC20,null,null,null,null,null,null
2430,Club,"$3,100,000 ",null,Utility,Gaming,Not Set,null,Not Rated,null,period isn't set,null,"$3,100,000 ",		DATE: TBA		,ERC20,null,null,null,null,null,null
2431,Hologram,"$6,500,000 ",null,Utility,Platform,Not Set,null,Not Rated,null,period isn't set,null,"$6,500,000 ",		DATE: TBA		,ERC20,null,null,null,null,null,null
2432,Contango,"$4,000,000 ",null,Utility,DEX,Not Set,null,Not Rated,null,period isn't set,null,"$4,000,000 ",		DATE: TBA		,ERC20,null,null,null,null,null,null
2433,ZKX,"$4,500,000 ",null,Utility,Protocol,Not Set,null,Not Rated,null,period isn't set,null,"$4,500,000 ",		DATE: TBA		,ERC20,null,null,null,null,null,null
2434,Farcaster,"$30,000,000 ",null,Utility,Social Network,Not Set,null,Not Rated,null,period isn't set,null,"$30,000,000 ",		DATE: TBA		,ERC20,null,null,null,null,null,null
2435,Quadrata,"$7,500,000 ",null,Utility,Blockchain Service,Not Set,null,Not Rated,null,period isn't set,null,"$7,500,000 ",		DATE: TBA		,ERC20,null,null,null,null,null,null
2436,Morpho,"$18,000,000 ",null,Governance,Protocol,Not Set,"1,000,000,000",Not Rated,null,period isn't set,null,"$18,000,000 ",		DATE: TBA		,ERC20,null,null,null,null,null,null
2437,Gnosis Safe,"$100,000,000 ",null,Utility,Platform,Not Set,null,Not Rated,null,period isn't set,null,"$100,000,000 ",		DATE: TBA		,ERC20,null,null,null,null,null,null
2438,Li.Fi,"$23,000,000 ",null,Utility,Protocol,Not Set,null,Not Rated,null,period isn't set,null,"$23,000,000 ",		DATE: TBA		,ERC20,null,null,null,null,null,null
2439,Torches,Pending ,null,Utility,Protocol,Pending,"100,000,000",Not Rated,null,period isn't set,null,Pending ,		DATE: TBA		,ERC20,null,null,null,null,null,null
2440,Curios,"$5,000,000 ",null,Utility,Platform,Not Set,null,Not Rated,null,period isn't set,null,"$5,000,000 ",		DATE: TBA		,ERC20,null,null,null,null,null,null
2441,Salto X,"$5,285,000 ",null,Utility,Platform,Not Set,null,Not Rated,null,period isn't set,null,"$5,285,000 ",		DATE: TBA		,Polygon,null,null,null,null,null,null
2442,Metag3NCY,"$4,000,000 ",null,Utility,Blockchain Service,Not Set,null,Not Rated,null,period isn't set,null,"$4,000,000 ",		DATE: TBA		,ERC20,null,null,null,null,null,null
2443,FlexiDAO,"$7,600,000 ",null,Utility,Blockchain Service,Not Set,null,Not Rated,null,period isn't set,null,"$7,600,000 ",		DATE: TBA		,ERC20,null,null,null,null,null,null
2444,Blocko,"$16,400,000 ",null,Utility,Platform,Not Set,null,Not Rated,null,period isn't set,null,"$16,400,000 ",		DATE: TBA		,ERC20,null,null,null,null,null,null
2445,Intros,"$1,300,000 ",null,Utility,Platform,Not Set,null,Not Rated,null,period isn't set,null,"$1,300,000 ",		DATE: TBA		,ERC20,null,null,null,null,null,null
2446,BlockSec,"$8,000,000 ",null,Utility,Blockchain Service,Not Set,null,Not Rated,null,period isn't set,null,"$8,000,000 ",		DATE: TBA		,ERC20,null,null,null,null,null,null
2447,Crescent,"$5,000,000 ",null,Utility,Platform,Not Set,null,Not Rated,null,period isn't set,null,"$5,000,000 ",		DATE: TBA		,ERC20,null,null,null,null,null,null
2448,DeepNFTValue,"$4,000,000 ",null,Utility,Blockchain Service,Not Set,null,Not Rated,null,period isn't set,null,"$4,000,000 ",		DATE: TBA		,ERC20,null,null,null,null,null,null
2449,Thalex,"$7,640,000 ",null,Utility,Platform,Not Set,null,Not Rated,null,period isn't set,null,"$7,640,000 ",		DATE: TBA		,ERC20,null,null,null,null,null,null
2450,Portalverse,Pending ,null,Utility,Network,Pending,null,Not Rated,null,period isn't set,null,Pending ,		DATE: TBA		,ERC20,null,null,null,null,null,null
2451,Security Token Market,"$5,000,000 ",null,Utility,Blockchain Service,Not Set,null,Not Rated,null,period isn't set,null,"$5,000,000 ",		DATE: TBA		,ERC20,null,null,null,null,null,null
2452,Autonomy,"$5,600,000 ",null,Utility,Wallet,Not Set,null,Not Rated,null,period isn't set,null,"$5,600,000 ",		DATE: TBA		,ERC20,null,null,null,null,null,null
2453,Cauldron,"$8,000,000 ",null,Utility,Gaming,Not Set,null,Not Rated,null,period isn't set,null,"$8,000,000 ",		DATE: TBA		,ERC20,null,null,null,null,null,null
2454,Supermojo,"$6,000,000 ",null,Utility,Platform,Not Set,null,Not Rated,null,period isn't set,null,"$6,000,000 ",		DATE: TBA		,ERC20,null,null,null,null,null,null
2455,SEED,"$41,000,000 ",null,Utility,Gaming,Not Set,null,Not Rated,null,period isn't set,null,"$41,000,000 ",		DATE: TBA		,ERC20,null,null,null,null,null,null
2456,Edverse,"$700,000 ",null,Utility,Platform,Not Set,null,Not Rated,null,period isn't set,null,"$700,000 ",		DATE: TBA		,ERC20,null,null,null,null,null,null
2457,Rubix,"$100,000,000 ",null,Utility,Protocol,Not Set,"51,400,000",Not Rated,null,period isn't set,null,"$100,000,000 ",		DATE: TBA		,ERC20,null,null,null,null,null,null
2458,qiibee,"$4,800,000 ",null,Utility,Marketplace,Not Set,null,Not Rated,null,period isn't set,null,"$4,800,000 ",		DATE: TBA		,ERC20,null,null,null,null,null,null
2459,Koin X,"$1,500,000 ",null,Utility,Platform,Not Set,null,Not Rated,null,period isn't set,null,"$1,500,000 ",		DATE: TBA		,ERC20,null,null,null,null,null,null
2460,BKN301,"$15,650,000 ",null,Utility,Blockchain Service,Not Set,null,Not Rated,null,period isn't set,null,"$15,650,000 ",		DATE: TBA		,ERC20,null,null,null,null,null,null
2461,H2O Securities,"$150,000,000 ",null,Utility,Blockchain Service,Not Set,"10,000,000,000",Not Rated,null,period isn't set,null,"$150,000,000 ",		DATE: TBA		,BEP-20,null,null,null,null,null,null
2462,Increment Finance,"$1,000,000 ",null,Utility,Platform,Not Set,null,Not Rated,null,period isn't set,null,"$1,000,000 ",		DATE: TBA		,ERC20,null,null,null,null,null,null
2463,Carma Community,Pending ,null,Utility,Platform,Pending,null,Not Rated,null,period isn't set,null,Pending ,		DATE: TBA		,ERC20,null,null,null,null,null,null
2464,Crypto Colo Center,"$1,000,000 ",null,Utility,Blockchain Service,Not Set,null,Not Rated,null,period isn't set,null,"$1,000,000 ",		DATE: TBA		,ERC20,null,null,null,null,null,null
2465,NFT Brands,"$41,100,000 ",null,Utility,Blockchain Service,Not Set,null,Not Rated,null,period isn't set,null,"$41,100,000 ",		DATE: TBA		,ERC20,null,null,null,null,null,null
2466,Seso Global,"$600,000 ",null,Utility,Marketplace,Not Set,null,Not Rated,null,period isn't set,null,"$600,000 ",		DATE: TBA		,ERC20,null,null,null,null,null,null
2467,Altitude,"$2,100,000 ",null,Utility,Protocol,Not Set,null,Not Rated,null,period isn't set,null,"$2,100,000 ",		DATE: TBA		,ERC20,null,null,null,null,null,null
2468,Echo3D,"$9,500,000 ",null,Utility,Platform,Not Set,null,Not Rated,null,period isn't set,null,"$9,500,000 ",		DATE: TBA		,ERC20,null,null,null,null,null,null
2469,Tenderize,"$3,000,000 ",null,Utility,Protocol,Not Set,null,Not Rated,null,period isn't set,null,"$3,000,000 ",		DATE: TBA		,ERC20,null,null,null,null,null,null
2470,Planetarium Labs,"$32,000,000 ",null,Utility,Blockchain Service,Not Set,null,Not Rated,null,period isn't set,null,"$32,000,000 ",		DATE: TBA		,ERC20,null,null,null,null,null,null
2471,Mona,"$14,600,000 ",null,Utility,Platform,Not Set,null,Not Rated,null,period isn't set,null,"$14,600,000 ",		DATE: TBA		,ERC20,null,null,null,null,null,null
2472,League of Traders,"$2,400,000 ",null,Utility,Blockchain Service,Not Set,null,Not Rated,null,period isn't set,null,"$2,400,000 ",		DATE: TBA		,ERC20,null,null,null,null,null,null
2473,NFTEye,"$1,650,000 ",null,Utility,Platform,Not Set,null,Not Rated,null,period isn't set,null,"$1,650,000 ",		DATE: TBA		,ERC721,null,null,null,null,null,null
2474,Entrepreneur First,"$170,400,000 ",null,Utility,Platform,Not Set,null,Not Rated,null,period isn't set,null,"$170,400,000 ",		DATE: TBA		,ERC20,null,null,null,null,null,null
2475,Web3Games,"$4,000,000 ",null,Utility,Platform,Not Set,"1,000,000,000",Not Rated," $250,000 ",period isn't set, 1 W3G = 0.025 USD ,"$4,000,000 ",		DATE: TBA		,ERC20,21%,null,null,USDT,null,null
2476,AltLayer,"$7,200,000 ",null,Utility,Blockchain Service,Not Set,null,Not Rated,null,period isn't set,null,"$7,200,000 ",		DATE: TBA		,ERC20,null,null,null,null,null,null
2477,Soba,"$13,500,000 ",null,Utility,Platform,Not Set,null,Not Rated,null,period isn't set,null,"$13,500,000 ",		DATE: TBA		,ERC20,null,null,null,null,null,null
2478,Zenogakki,Pending ,null,Utility,Blockchain Service,Pending,null,Not Rated,null,period isn't set,null,Pending ,		DATE: TBA		,ERC20,null,null,null,null,null,null
2479,MoHash,"$6,000,000 ",null,Utility,Protocol,Not Set,null,Not Rated,null,period isn't set,null,"$6,000,000 ",		DATE: TBA		,ERC20,null,null,null,null,null,null
2480,Weather XM,"$5,000,000 ",null,Utility,Network,Not Set,"100,000,000",Not Rated,null,period isn't set,null,"$5,000,000 ",		DATE: TBA		,ERC20,null,null,null,null,null,null
2481,Dynamic,"$7,500,000 ",null,Utility,Wallet,Not Set,null,Not Rated,null,period isn't set,null,"$7,500,000 ",		DATE: TBA		,ERC20,null,null,null,null,null,null
2482,Linera,"$6,000,000 ",null,Utility,Protocol,Not Set,null,Not Rated,null,period isn't set,null,"$6,000,000 ",		DATE: TBA		,ERC20,null,null,null,null,null,null
2483,Azuro,"$7,500,000 ",null,Utility,Protocol,Not Set,null,Not Rated,null,period isn't set,null,"$7,500,000 ",		DATE: TBA		,ERC20,null,null,null,null,null,null
2484,Cyan,"$2,100,000 ",null,Utility,Blockchain Service,Not Set,null,Not Rated,null,period isn't set,null,"$2,100,000 ",		DATE: TBA		,ERC20,null,null,null,null,null,null
2485,Astaria,"$8,000,000 ",null,Utility,Platform,Not Set,null,Not Rated,null,period isn't set,null,"$8,000,000 ",		DATE: TBA		,ERC20,null,null,null,null,null,null
2486,TeleportDAO,Pending ,null,Utility,Protocol,Pending,null,Not Rated,null,period isn't set,null,Pending ,		DATE: TBA		,ERC20,null,null,null,null,null,null
2487,Mystiko,Pending ,null,Utility,Network,Pending,null,Not Rated,null,period isn't set,null,Pending ,		DATE: TBA		,ERC20,null,null,null,null,null,null
2488,Loop Crypto,"$4,000,000 ",null,Utility,Platform,Not Set,null,Not Rated,null,period isn't set,null,"$4,000,000 ",		DATE: TBA		,ERC20,null,null,null,null,null,null
2489,Decent,"$3,500,000 ",null,Utility,Blockchain Service,Not Set,null,Not Rated,null,period isn't set,null,"$3,500,000 ",		DATE: TBA		,ERC20,null,null,null,null,null,null
2490,FalconX,"$427,000,000 ",null,Utility,Platform,Not Set,null,Not Rated,null,period isn't set,null,"$427,000,000 ",		DATE: TBA		,ERC20,null,null,null,null,null,null
2491,Meta One,"$2,000,000 ",null,Utility,Platform,Not Set,null,Not Rated,null,period isn't set,null,"$2,000,000 ",		DATE: TBA		,ERC20,null,null,null,null,null,null
2492,Magic Eden,"$159,500,000 ",null,Utility,Marketplace,Not Set,null,Not Rated,null,period isn't set,null,"$159,500,000 ",		DATE: TBA		,ERC20,null,null,null,null,null,null
2493,Increment,"$1,560,000 ",null,Utility,Protocol,Not Set,null,Not Rated,null,period isn't set,null,"$1,560,000 ",		DATE: TBA		,ERC20,null,null,null,null,null,null
2494,Afropolitan,"$2,100,000 ",null,Utility,Blockchain Service,Not Set,null,Not Rated,null,period isn't set,null,"$2,100,000 ",		DATE: TBA		,ERC20,null,null,null,null,null,null
2495,Endaoment,"$9,200,000 ",null,Utility,Blockchain Service,Not Set,null,Not Rated,null,period isn't set,null,"$9,200,000 ",		DATE: TBA		,ERC20,null,null,null,null,null,null
2496,zCloak,"$7,100,000 ",null,Utility,Platform,Not Set,null,Not Rated,null,period isn't set,null,"$7,100,000 ",		DATE: TBA		,ERC20,null,null,null,null,null,null
2497,Soulbound,"$3,600,000 ",null,Utility,Gaming,Not Set,null,Not Rated,null,period isn't set,null,"$3,600,000 ",		DATE: TBA		,ERC20,null,null,null,null,null,null
2498,BitCraft,"$22,000,000 ",null,Utility,Gaming,Not Set,null,Not Rated,null,period isn't set,null,"$22,000,000 ",		DATE: TBA		,ERC20,null,null,null,null,null,null
2499,ScienceMagic.Studios,"$10,300,000 ",null,Utility,Blockchain Service,Not Set,null,Not Rated,null,period isn't set,null,"$10,300,000 ",		DATE: TBA		,ERC20,null,null,null,null,null,null
2500,Kaleidoco,"$7,000,000 ",null,Utility,Blockchain Service,Not Set,null,Not Rated,null,period isn't set,null,"$7,000,000 ",		DATE: TBA		,ERC20,null,null,null,null,null,null
2501,Fluid,Pending ,null,Utility,Blockchain Service,Pending,"2,700,000,000",Not Rated,null,period isn't set,null,Pending ,		DATE: TBA		,ERC20,null,null,null,null,null,null
2502,MetaFi,"$3,000,000 ",null,Utility,Blockchain Service,Not Set,null,Not Rated,null,period isn't set,null,"$3,000,000 ",		DATE: TBA		,ERC20,null,null,null,null,null,null
2503,Moon,"$5,100,000 ","$6,600,000 (77%) ",Utility,Blockchain Service,"$6,600,000			","100,000,000,000",Not Rated," 3,000,000,000 Token ",July (no exact dates), 1 1MOON = 0.0005 USD ,"$5,100,000 ",		31 Jul		,BEP-20,null,null,null,null,null,null
2504,Fxdx.exchange,Pending ,null,Utility,Platform,Pending,"1,000,000,000",Not Rated,null,period isn't set,null,Pending ,		DATE: TBA		,ERC20,null,null,null,null,null,null
2505,Fuel Labs,"$81,500,000 ",null,Utility,Blockchain Service,Not Set,null,Not Rated,null,period isn't set,null,"$81,500,000 ",		DATE: TBA		,ERC20,null,null,null,null,null,null
2506,Futurent,"$1,785,000 ","$5,660,000 (32%) ",Utility,Blockchain Service,"$5,660,000			","1,000,000,000",Not Rated," $500,000 ",July (no exact dates), 1 FUTR = 0.025 USD ,"$1,785,000 ",		31 Jul		,ERC20,25%,null,null,null,null,null
2507,ZkLend,"$5,000,000 ",null,Utility,Protocol,Not Set,"100,000,000",Not Rated,null,period isn't set,null,"$5,000,000 ",		DATE: TBA		,ERC20,null,null,null,null,null,null
2508,Cassava Network,"$8,000,000 ",null,Utility,Wallet,Not Set,"10,000,000,000",Not Rated,null,period isn't set,null,"$8,000,000 ",		DATE: TBA		,ERC20,null,null,null,null,null,null
2509,Immunify.Life,"$2,155,000 ",null,Utility,Blockchain Service,Not Set,"300,000,000",Not Rated," $100,000 ",20 Jul – 22 Jul, 1 IMM = 0.1 USD ,"$2,155,000 ",		20 Jul		,Own blockchain,1%,null,null,"USDC, BUSD",null,null
2510,Shrapnel,"$17,500,000 ",null,Utility,Blockchain Service,Not Set,null,Not Rated,null,period isn't set,null,"$17,500,000 ",		DATE: TBA		,ERC20,null,null,null,null,null,null
2511,Thetanuts Finance,"$35,000,000 ",null,Utility,Protocol,Not Set,null,Not Rated,null,period isn't set,null,"$35,000,000 ",		DATE: TBA		,ERC20,null,null,null,null,null,null
2512,Amber Group,"$628,000,000 ",null,Utility,Finance,Not Set,null,Not Rated,null,period isn't set,null,"$628,000,000 ",		DATE: TBA		,ERC20,null,null,null,null,null,null
2513,Cosmic Guild,"$4,500,000 ",null,Governance,Gaming,Not Set,"500,000,000",Not Rated,null,period isn't set,null,"$4,500,000 ",		DATE: TBA		,ERC20,null,null,null,null,null,null
2514,Genie,Pending ,null,Utility,Marketplace,Pending,null,Not Rated,null,period isn't set,null,Pending ,		DATE: TBA		,ERC20,null,null,null,null,null,null
2515,0xSplits,Pending ,null,Utility,Protocol,Pending,null,Not Rated,null,period isn't set,null,Pending ,		DATE: TBA		,ERC20,null,null,null,null,null,null
2516,Slingshot,"$18,100,000 ",null,Utility,Platform,Not Set,null,Not Rated,null,period isn't set,null,"$18,100,000 ",		DATE: TBA		,ERC20,null,null,null,null,null,null
2517,Rift Finance,"$18,000,000 ",null,Utility,Protocol,Not Set,null,Not Rated,null,period isn't set,null,"$18,000,000 ",		DATE: TBA		,ERC20,null,null,null,null,null,null
2518,Sardine,"$75,600,000 ",null,Utility,Platform,Not Set,null,Not Rated,null,period isn't set,null,"$75,600,000 ",		DATE: TBA		,ERC20,null,null,null,null,null,null
2519,Orca Protocol,Pending ,null,Utility,Blockchain Service,Pending,null,Not Rated,null,period isn't set,null,Pending ,		DATE: TBA		,ERC20,null,null,null,null,null,null
2520,LinksDAO,Pending ,null,Utility,Blockchain Service,Pending,null,Not Rated,null,period isn't set,null,Pending ,		DATE: TBA		,ERC20,null,null,null,null,null,null
2521,Lens Protocol,"$15,000,000 ",null,Utility,Blockchain Service,Not Set,null,Not Rated,null,period isn't set,null,"$15,000,000 ",		DATE: TBA		,ERC20,null,null,null,null,null,null
2522,Spin,"$3,750,000 ",null,Utility,DEX,Not Set,"1,000,000,000",Not Rated, ETH ,17 Jul – 27 Jul, 1 SPFI = 0.05 USD ,"$3,750,000 ",		17 Jul		,NEAR Blockchain,"36,5%",null,null,null,null,null
2523,Extend,Pending ,null,Utility,Blockchain Service,Pending,null,Not Rated,null,period isn't set,null,Pending ,		DATE: TBA		,Solana,null,null,null,null,null,null
2524,Bored Ape Yacht Club,Pending ,null,Utility,Blockchain Service,Pending,null,Not Rated,null,period isn't set,null,Pending ,		DATE: TBA		,ERC20,null,null,null,null,null,null
2525,CryptoStats,Pending ,null,Utility,Blockchain Service,Pending,null,Not Rated,null,period isn't set,null,Pending ,		DATE: TBA		,ERC20,null,null,null,null,null,null
2526,Agora City,Pending ,null,Utility,Blockchain Service,Pending,"100,000,000",Not Rated,null,period isn't set,null,Pending ,		DATE: TBA		,ERC20,null,null,null,null,null,null
2527,Gem.xyz,Pending ,null,Utility,Blockchain Service,Pending,null,Not Rated,null,period isn't set,null,Pending ,		DATE: TBA		,ERC20,null,null,null,null,null,null
2528,Crypto Coven,Pending ,null,Utility,Blockchain Service,Pending,null,Not Rated,null,period isn't set,null,Pending ,		DATE: TBA		,ERC20,null,null,null,null,null,null
2529,Dropp,"$8,000,000 ",null,Utility,Platform,Not Set,null,Not Rated,null,period isn't set,null,"$8,000,000 ",		DATE: TBA		,Solana,null,null,null,null,null,null
2530,Illuminati NFT,Pending ,null,Utility,Blockchain Service,Pending,null,Not Rated,null,period isn't set,null,Pending ,		DATE: TBA		,ERC20,null,null,null,null,null,null
2531,Aperture Finance,"$5,300,000 ",null,Utility,Blockchain Service,Not Set,null,Not Rated,null,period isn't set,null,"$5,300,000 ",		DATE: TBA		,ERC20,null,null,null,null,null,null
2532,Celestia,"$56,500,000 ",null,Utility,Blockchain Service,Not Set,null,Not Rated,null,period isn't set,null,"$56,500,000 ",		DATE: TBA		,ERC20,null,null,null,null,null,null
2533,Exotic Markets,"$5,000,000 ",null,Utility,DeFi,Not Set,"10,000,000",Not Rated,null,period isn't set,null,"$5,000,000 ",		DATE: TBA		,ERC20,null,null,null,null,null,null
2534,GT-Protocol,"$5,400,000 ","$5,600,000 (96%) ",Utility,Protocol,"$5,600,000			","100,000,000",Not Rated," 1,000,000 Token ",14 Jul – 18 Jul, 1 GTP = 0.2 USD ,"$5,400,000 ",		14 Jul		,BEP-20,null,null,null,null,null,null
2535,Salad Ventures,"$15,500,000 ",null,Utility,Gaming,Not Set,"1,680,000,000",Not Rated,null,period isn't set,null,"$15,500,000 ",		DATE: TBA		,ERC20,null,null,null,null,null,null
2536,Codyfight,"$2,438,400 ",null,Utility,Gaming,Not Set,"127,000,001",Not Rated," 2,540,000 Token ",July (no exact dates), 1 CTOK = 0.08 USD ,"$2,438,400 ",		31 Jul		,ERC20,null,null,"Yes (period isn't set, ",null,null,null
2537,Fractal,"$35,000,000 ",null,Utility,Marketplace,Not Set,null,Not Rated," $400,000 ",period isn't set, 1 = 0.1 USD ,"$35,000,000 ",		DATE: TBA		,ERC20,null,null,null,USDT,null,null
2538,Block Earner,"$6,400,000 ",null,Utility,Blockchain Service,Not Set,null,Not Rated,null,period isn't set,null,"$6,400,000 ",		DATE: TBA		,ERC20,null,null,null,null,null,null
2539,Voltz Protocol,"$6,000,000 ",null,Utility,Market,Not Set,null,Not Rated,null,period isn't set,null,"$6,000,000 ",		DATE: TBA		,ERC20,null,null,null,null,null,null
2540,Soda Protocol,Pending ,null,Utility,Protocol,Pending,null,Not Rated,null,period isn't set,null,Pending ,		DATE: TBA		,Solana,null,null,null,null,null,null
2541,Subsocial,Pending ,null,Utility,Platform,Pending,"1,000,000,000",Not Rated,null,period isn't set,null,Pending ,		DATE: TBA		,Polkadot,null,null,null,null,null,null
2542,Defi Llama,Pending ,null,Utility,DeFi,Pending,null,Not Rated,null,period isn't set,null,Pending ,		DATE: TBA		,ERC20,null,null,null,null,null,null
2543,MystenLabs,"$336,000,000 ",null,Utility,Blockchain Service,Not Set,null,Not Rated,null,period isn't set,null,"$336,000,000 ",		DATE: TBA		,ERC20,null,null,null,null,null,null
2544,Muon Network,"$600,000 ","$2,940,000 (20%) ",Utility,Network,"$2,940,000			","120,000,000",Not Rated, Token ,July (no exact dates),null,"$600,000 ",		31 Jul		,ERC20,null,null,"Yes (period isn't set, ",null,null,null
2545,Omnia,"$2,175,000 ","$2,330,000 (94%) ",Utility,Protocol,"$2,330,000			","100,000,000",Not Rated," 1,000,000 Token ",period isn't set, 1 OMNIA = 0.15 USD ,"$2,175,000 ",		DATE: TBA		,ERC20,null,null,"Yes (period isn't set, ",null,null,null
2546,RugDoc,Pending ,null,Utility,Blockchain Service,Pending,null,Not Rated,null,period isn't set,null,Pending ,		DATE: TBA		,ERC20,null,null,null,null,null,null
2547,Themis,"$2,000,000 ","$2,300,000 (87%) ",Utility,Protocol,"$2,300,000			","800,000,000",Not Rated," $300,000 ",July (no exact dates),null,"$2,000,000 ",		31 Jul		,ERC20,null,null,"Yes (period isn't set, ",null,null,null
2548,Poolsuite,Pending ,null,Utility,Blockchain Service,Pending,null,Not Rated,null,period isn't set,null,Pending ,		DATE: TBA		,ERC20,null,null,null,null,null,null
2549,Curvance,Pending ,null,Utility,Protocol,Pending,null,Not Rated,null,period isn't set,null,Pending ,		DATE: TBA		,ERC20,null,null,null,null,null,null
2550,Star Sharks,Pending ,null,Utility,Gaming,Pending,null,Not Rated,null,period isn't set,null,Pending ,		DATE: TBA		,ERC20,null,null,null,null,null,null
2551,CityDAO,Pending ,null,Utility,Blockchain Service,Pending,null,Not Rated,null,period isn't set,null,Pending ,		DATE: TBA		,ERC20,null,null,null,null,null,null
2552,GrailersDAO,Pending ,null,Utility,Blockchain Service,Pending,null,Not Rated,null,period isn't set,null,Pending ,		DATE: TBA		,ERC20,null,null,null,null,null,null
2553,Sound.xyz,Pending ,null,Utility,Platform,Pending,null,Not Rated,null,period isn't set,null,Pending ,		DATE: TBA		,ERC20,null,null,null,null,null,null
2554,Snapshot,"$4,000,000 ",null,Utility,Platform,Not Set,null,Not Rated,null,period isn't set,null,"$4,000,000 ",		DATE: TBA		,ERC20,null,null,null,null,null,null
2555,Wolf Game,Pending ,null,Utility,Protocol,Pending,null,Not Rated,null,period isn't set,null,Pending ,		DATE: TBA		,ERC20,null,null,null,null,null,null
2556,DeFrag,Pending ,null,Governance,Protocol,Pending,null,Not Rated,null,period isn't set,null,Pending ,		DATE: TBA		,ERC20,null,null,null,null,null,null
2557,BetDEX,"$21,000,000 ",null,Utility,Protocol,Not Set,null,Not Rated,null,period isn't set,null,"$21,000,000 ",		DATE: TBA		,Solana,null,null,null,null,null,null
2558,Wonder,"$2,500,000 ",null,Utility,Blockchain Service,Not Set,"100,000,000",Not Rated,null,period isn't set,null,"$2,500,000 ",		DATE: TBA		,ERC20,null,null,null,null,null,null
2559,Arrow Markets,"$1,400,000 ",null,Utility,Protocol,Not Set,null,Not Rated,null,period isn't set,null,"$1,400,000 ",		DATE: TBA		,ERC20,null,null,null,null,null,null
2560,Polysynth,"$4,500,000 ",null,Utility,Protocol,Not Set,null,Not Rated,null,period isn't set,null,"$4,500,000 ",		DATE: TBA		,ERC20,null,null,null,null,null,null
2561,ALEX,"$8,300,000 ",null,Utility,Protocol,Not Set,null,Not Rated,null,period isn't set,null,"$8,300,000 ",		DATE: TBA		,ERC20,null,null,null,null,null,null
2562,Goth girlfriends,Pending ,null,Utility,Blockchain Service,Pending,null,Not Rated,null,period isn't set,null,Pending ,		DATE: TBA		,Solana,null,null,null,null,null,null
2563,Forte,"$725,000,000 ",null,Utility,Platform,Not Set,null,Not Rated,null,period isn't set,null,"$725,000,000 ",		DATE: TBA		,ERC20,null,null,null,null,null,null
2564,Massa Labs,"$5,732,250 ",null,Utility,Blockchain Service,Not Set,null,Not Rated,null,period isn't set,null,"$5,732,250 ",		DATE: TBA		,ERC20,null,null,null,null,null,null
2565,Mirror World,"$10,000,000 ",null,Utility,Gaming,Not Set,null,Not Rated,null,period isn't set,null,"$10,000,000 ",		DATE: TBA		,ERC721,null,null,null,null,null,null
2566,Insilico Research,Pending ,null,Utility,Blockchain Service,Pending,null,Not Rated,null,period isn't set,null,Pending ,		DATE: TBA		,ERC20,null,null,null,null,null,null
2567,Pulsr,"$2,000,000 ",null,Utility,Platform,Not Set,null,Not Rated,null,period isn't set,null,"$2,000,000 ",		DATE: TBA		,ERC20,null,null,null,null,null,null
2568,Meow,"$27,000,000 ",null,Utility,Blockchain Service,Not Set,null,Not Rated,null,period isn't set,null,"$27,000,000 ",		DATE: TBA		,ERC20,null,null,null,null,null,null
2569,Core Loop,"$14,400,000 ",null,Utility,Blockchain Service,Not Set,null,Not Rated,null,period isn't set,null,"$14,400,000 ",		DATE: TBA		,ERC20,null,null,null,null,null,null
2570,Cheqd,"$3,300,000 ",null,Utility,Blockchain Service,Not Set,"1,000,000,000",Not Rated,null,period isn't set,null,"$3,300,000 ",		DATE: TBA		,ERC20,null,null,null,null,null,null
2571,Pendulum,"$5,900,000 ",null,Utility,Blockchain Service,Not Set,null,Not Rated,null,period isn't set,null,"$5,900,000 ",		DATE: TBA		,ERC20,null,null,null,null,null,null
2572,CRD Network,Pending ,null,Utility,Blockchain Service,Pending,"1,000,000,000",Not Rated,null,period isn't set,null,Pending ,		DATE: TBA		,ERC20,null,null,null,null,null,null
2573,Influence,Pending ,null,Utility,Gaming,Pending,null,Not Rated,null,period isn't set,null,Pending ,		DATE: TBA		,ERC20,null,null,null,null,null,null
2574,Coordinape,Pending ,null,Utility,Platform,Pending,null,Not Rated,null,period isn't set,null,Pending ,		DATE: TBA		,ERC20,null,null,null,null,null,null
2575,DAO Masters,Pending ,null,Utility,Blockchain Service,Pending,null,Not Rated,null,period isn't set,null,Pending ,		DATE: TBA		,ERC20,null,null,null,null,null,null
2576,Cryptoys,"$30,500,000 ",null,Utility,Platform,Not Set,null,Not Rated,null,period isn't set,null,"$30,500,000 ",		DATE: TBA		,ERC20,null,null,null,null,null,null
