,coin_ticker,received_money,sold_coins,role_of_token,category,goal,total_tokens,interest,fundraising_goal,start_end_date_coin_sell,ico_token_price,received_money,end_date,token_type,available_for_token_sale,min_max_personal_cap,whitelist,accepts,token_issue,cant_participate
26,Tenet,"$2,400,000 ","$2,400,000 (100%) ",Utility,Blockchain,"$2,400,000 ","1,200,000,000",Not Rated," $1,560,000 ",10 May – 24 May, 1 TENET = 0.02 USD ,"$2,400,000 ",Ended: 24 May 2023 ,Own blockchain,10%,null,null,null,null,null
27,The Unfettered,"$2,500,000 ",null,Utility,Gaming,Not Set,null,Not Rated,null,Market & Returns,null,"$2,500,000 ",Ended: 23 May 2023 ,null,null,null,null,null,null,null
28,Turbos Finance,"$3,750,000 ","$3,750,000 (100%) ",Utility,DEX,"$3,750,000 ","10,000,000,000",Not Rated," $750,000 ",9 May – 15 May, 1 TURBOS = 0.005 USD ,"$3,750,000 ",Ended: 15 May 2023 ,Own blockchain,"10,5%",null,null,null,null,null
29,WeFi,"$1,125,000 ",null,Utility,Lending,Not Set,null,Not Rated,null,Market & Returns,null,"$1,125,000 ",Ended: 15 May 2023 ,null,null,null,null,null,null,null
30,LimeWire,"$10,400,000 ",null,Utility,Marketplace,Not Set,null,Not Rated,null,Market & Returns,null,"$10,400,000 ",Ended: 15 May 2023 ,null,null,null,null,null,null,null
31,FitBurn,"$4,600,000 ",null,Utility,Platform,Not Set,null,Not Rated,null,Market & Returns,null,"$4,600,000 ",Ended: 14 May 2023 ,null,null,null,null,null,null,null
32,Finblox,"$3,900,000 ",null,Utility,Platform,Not Set,null,Not Rated,null,Market & Returns,null,"$3,900,000 ",Ended: 13 May 2023 ,null,null,null,null,null,null,null
33,ArbiPad,"$1,200,000 ","$1,200,000 (100%) ",Utility,Platform,"$1,200,000 ","10,000,000,000",Not Rated," $1,200,000 ",8 May – 11 May, 1 ARBI = 0.0005 USD ,"$1,200,000 ",Ended: 11 May 2023 ,Own blockchain,24%,null,null,null,null,null
34,SuiPad,"$1,645,000 ","$1,650,000 (100%) ",Utility,Platform,"$1,650,000 ",null,Not Rated,null,Market & Returns,null,"$1,645,000 ",Ended: 10 May 2023 ,null,null,null,null,null,null,null
35,Hypercycle,"$7,516,000 ",null,Utility,Platform,Not Set,null,Not Rated,null,Market & Returns,null,"$7,516,000 ",Ended: 10 May 2023 ,null,null,null,null,null,null,null
