web adress,name,ticker,ico success,industry,platform,ieo,mininvest,country,kyc,wlist,regulkyc,regtax,restusa,restchina,tokens f sale,accepting,eth,btc,fiat,ltc,dash,xrp,zec,neo,eos,other,protocol type,distributed in ico,softcap,hardcap,amount raised,circsupply,price mkt,price pre ico,price ico,regulkyc dates,pre ico starts,pre ico ends,total days,ico starts,ico ends,total days.1,artificial intelligence,art,banking,big data,business services,charity,communication,cryptocurrency,education,electronics,energy,enterntainment,health,infrastructre,internet,investment,legal,manufacturing,media,platform.1,real estate,retail,smart contract,software,sports,tourism,virtual reality,other.1,name_std,symbol_std,softcap_usd,hardcap_usd,amount raised_usd,ico_successful,regulkyc dates_parsed
/ico/gaus,Gaus,GAUS,0,8,6.0,0,,4,1.0,1.0,1.0,0.0,1,0,,,,,,,,,,,,,6.0,0.7,3000000.0,17000000.0,0.0,,,,0.01,2017-11-27 00:00:00,2018-09-09,2018-09-27,18,2018-10-18,2018-11-19,32.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gaus,GAUS,3000000.0,17000000.0,0.0,0,2017-11-27
/ico/lattice,Lattice,LTI,0,4,6.0,0,1.0,4,1.0,0.0,1.0,0.0,0,0,800000000.0, ETH,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.66,1000000.0,10000000.0,0.0,,,1 LTI = 0.00009 ETH,0.0043,2017-11-27 00:00:00,,,0,2018-04-24,2018-06-30,67.0,1.0,0.0,0.0,1.0,0.0,0,0.0,0,0,0,0,0,0.0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,lattice,LTI,1000000.0,10000000.0,0.0,0,2017-11-27
/ico/tor,Tor,Tor/TOR,0,8,6.0,0,0.0,4,0.0,0.0,1.0,0.0,0,0,2500000000.0,ETH,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.25,963840.0,1584135138.89,0.0,,,,,2017-11-27 00:00:00,2019-05-17,2019-06-15,29,2019-06-16,2019-07-15,29.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tor,Tor/TOR,963840.0,1584135138.89,0.0,0,2017-11-27
/ico/r3s,R3S,R3S,0,5,6.0,0,0.0,4,1.0,1.0,1.0,0.0,0,0,39900000.0,"BTC, BCH, LTC, ETH",1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.8333,9000000.0,30000000.0,0.0,,,,,2017-11-27 00:00:00,2018-03-05,2018-03-19,14,2018-04-03,2018-04-30,27.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,r3s,R3S,9000000.0,30000000.0,0.0,0,2017-11-27
/ico/cewnote,Cewnote,CEW,0,19,6.0,0,0.0,4,0.0,1.0,1.0,0.0,0,0,200000000.0,,,,,,,,,,,,6.0,0.62,5000000.0,25000000.0,0.0,,,,,2017-11-27 00:00:00,,,0,2018-09-04,2018-12-25,112.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cewnote,CEW,5000000.0,25000000.0,0.0,0,2017-11-27
/ico/neuronx,NeuronX,NXBT,0,20,6.0,0,1.0,4,1.0,0.0,1.0,0.0,0,0,,"BTC, ETH, EOS",1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.7,,20000000.0,0.0,,,,,2017-11-27 00:00:00,2018-11-01,2019-02-03,94,2019-02-10,2019-04-30,79.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,neuronx,NXBT,,20000000.0,0.0,0,2017-11-27
/ico/red-lanterns,Red Lanterns,REDLcoin,0,6,6.0,0,0.0,4,0.0,1.0,1.0,0.0,0,0,12750000.0,ETH,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.8,1500000.0,10000000.0,0.0,,,,,2017-11-27 00:00:00,2018-02-14,2018-03-01,15,2018-03-01,2018-04-15,45.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,redlanterns,REDLcoin,1500000.0,10000000.0,0.0,0,2017-11-27
/ico/wizebit,Wizebit,WIZE,0,7,0.0,0,1.0,4,1.0,0.0,1.0,0.0,1,0,250000000.0, ETH,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.5,2500000.0,35000000.0,0.0,,,1 WIZE = 0.15 USD,0.4,2017-11-27 00:00:00,2018-05-17,2018-07-15,59,2018-08-17,2018-10-27,71.0,1.0,0.0,0.0,1.0,0.0,0,0.0,0,0,0,1,1,0.0,0,1,0,0,1,1,1,0,0,1,1,0,0,0,0,wizebit,WIZE,2500000.0,35000000.0,0.0,0,2017-11-27
/ico/cannabisfarm-io,cannabisfarm.io,FIB,0,13,3.0,0,0.0,4,0.0,0.0,1.0,0.0,0,0,,"ETH, BTC, Fiat",1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.75,1375000.0,13760000.0,0.0,,,,80.928,2017-11-27 00:00:00,2018-02-10,2018-02-23,13,2018-02-24,2018-03-24,28.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cannabisfarmio,FIB,1375000.0,13760000.0,0.0,0,2017-11-27
/ico/finecoin,FineCoin,FineCoin,0,5,0.0,0,,4,0.0,0.0,1.0,0.0,1,0,,,,,,,,,,,,,,,,,0.0,,,,0.45,2017-11-27 00:00:00,2018-01-20,2018-01-25,5,2018-01-25,2018-02-13,19.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,finecoin,FineCoin,,,0.0,0,2017-11-27
