name_other,name_cmc,ticker_symbol_cmc,ico_successful,soft_cap,hard_cap,cap_unit,cap_includes_presale,token_type,number_of_contributors,crowdsale_tokens_sold,total_number_of_tokens,token_standard,additional_token_emissions,crowdsale_token_price_min,crowdsale_token_price_max,crowdsale_actual_token_price_max,crowdsale is auction,has a presale,presale_tokens_sold,presale_token_price_min,presale_token_price_max,development road map available,whitepaper page count,product or prototype developed,product can be tried out,years since foundation,issuer has customers for product,business model available,utility token enables decentralization,smart contract code available,project code available,use of proceeds mentioned,use of proceeds disclosed in detail,token share team (ex ante),token share crowdsale investors (ex ante),token share presale investors (ex ante),token share producers/miners (ex ante),unsold tokens 'burnt' or proportional allocation,unsold tokens kept by issuer,unsold tokens locked up,lock up period unsold tokens (years),team lockup period (weighted avg.),presale lockup period (weighted avg.),vc_support_general,vc_support_blockchain_specialist,investors have governance rights,team size,experienced team,team member with business background,advisor_quality,legal_structure,registration_country,address,independent custodian for ico funds,portfolio_converted_into_fiat,funding milestones,qualified investors only,simple agreement for future tokens (saft),kyc/aml procedure,us retail investors excluded,investors from other (non-us) jurisdictions excluded,legal advisor disclosed,financial advisor disclosed,air_drop_after_ico,industry,ethereum_contract_address,ico_start_date,ico_end_date_planned,ico_end_date_actual,amount raised in presale (usdm),amount raised in crowdsale (usdm),total amount raised (usdm),total amount raised (usdm).1,btc_ret_ico_period,presale discount (%),fundraiser has maximum ('hard cap'),fundraiser has minimum ('soft cap'),soft_cap_unit,hard_cap_unit,percentage of hard cap raised (%),pct_of_crowdsale_target_raised,price_presale_avg,price_presale,price_crowdsale_avg,price_crowdsale,crowdsale max. discount (%),us_qualified_only,team business background missing,team experience missing,average_discount,team tokens locked up,presale tokens locked up,issued_on_other_platf,legal form and jurisdiction known,postal address known,registered in offshore financial center,switzerland,is_ethereum,is cryptographic token,has vc backing,has_generalist_vc,has_specialist_vc,unknown or low quality advisors,high quality advisory team,token supply is fixed,token share crowdsale investors (ex post),post_money_val_crowdsale,celebrity endorsement,is a security,is a utility token,token_is_cryptocurrency,token_is_new_blockchain,is currency or general purpose blockchain,decentralised platform,legal entity is foundation,legal entity is corporation,legal entity is llc,legal entity is corporation or llc,"length of crowdsale (calendar days, actual)","length of crowdsale (calendar days, planned)",lock_up_period_team_ep,presale_transparent,industry.1,(first) date,time to listing (calendar days),name_std,symbol_std,soft_cap_usd,hard_cap_usd,independent custodian for ico funds_usd
Hive,Hive Project,HVN,1,5750680.0,28753400.0,BTC,1,Security,,,500000000.0,ERC-20,0,0.017253888764490646,0.0188067387532856,0.0188067387532856,1,1,,0.01635368587243351,0.01679173102973161,1,19.0,0,0,0,0,1,,1.0,0,0,0,0.25,,,0.0,1,0,,,0.96,,No,No,0,9.0,0,0,neutral,joint-stock corporation,British Virgin Islands,unknown,0,0,0,0,0,0,0,0,0,0,0,Finance,0xc0eb85285d83217cd7c891702bcbc0fc401e2d9d,2017-07-03,2017-07-31,2017-07-31,,,,,0.11457899212837219,13.043478012084961,1,1,BTC,BTC,,,,0.016572708263993263,,0.018030313774943352,8.256880760192871,0,0,0,,1,0.0,1,1,0,1,0,1,1,0,0,0,0,0,1,,,0,1,0,0,0,0,1,0,1,0,1.0,29,29.0,0.9599999785423279,0,Finance,2017-09-10,41.0,hive,hvn,5750680.0,28753400.0,0.0
Hubii Network,Hubii Network,HBT,1,5000000.0,50000000.0,USD,1,Utility-token,,22261248.561,31801783.6598209,ERC-20,0,0.2823809523809665,0.2965,0.2965,0,0,,,,1,38.0,0,0,9,0,1,1.0,1.0,0,1,0,0.3,0.7,0.0,0.0,1,0,,,0.5000000000000001,,IVA Ventures,No,0,,0,0,high,joint-stock corporation,Singapore,Hubii Pte. Ltd.  531A UPPER CROSS STREET #03-108 HONG LIM COMPLEX SINGAPORE 051531,0,0,0,0,0,0,0,0,0,0,0,Content Management,0xdd6c68bb32462e01705011a4e2ad1a60740f217f,2017-08-24,2017-09-07,2017-09-08,0.0,6.600460052490234,6.600460052490234,6.600460052490234,-0.02474134787917137,,1,1,USD,USD,13.200920104980469,13.200920104980469,,,0.29649999737739563,0.29649999737739563,4.761904716491699,0,1,1,8.845208867569454e-07,1,,1,1,1,0,0,1,1,1,1,0,0,1,1,0.699999988079071,9.429228782653809,1,0,1,0,0,0,1,0,1,0,1.0,16,15.0,0.5,1,Content Management,2017-10-09,31.0,hubiinetwork,hbt,5000000.0,50000000.0,0.0
Humaniq,Humaniq,HMQ,1,527200.0,,ETH,1,Cryptocurrency,,,184194940.0,ERC-20,1,0.03517011340894087,0.05272,0.05272,0,1,31824818.0,0.02067450980392167,0.03514666666666842,1,24.0,1,1,0,0,1,,1.0,0,0,0,,,,0.0,1,0,,,,,No,No,0,14.0,0,0,low,limited liability partnership,Luxembourg,"Humaniq S.à r.l.   45, rue Laurent Ménager  L - 2143 Luxembourg ",0,0,0,0,0,0,0,0,0,0,0,Finance,0xcbcc0f036ed4788f63fc0fee32873d6a7487b908,2017-04-04,2017-04-26,2017-04-26,0.29144155979156494,2.9492785930633545,3.24072003364563,3.24072003364563,0.12261386215686798,60.7843132019043,0,1,ETH,ETH,,,0.009157681837677956,0.009157681837677956,,0.043945055454969406,33.28886032104492,0,1,1,,0,0.0,1,1,1,0,0,1,1,0,0,0,1,0,0,,,1,0,0,1,0,1,1,0,0,1,1.0,23,23.0,,1,Finance,2017-05-11,15.0,humaniq,hmq,527200.0,,0.0
Iconomi,Iconomi,ICN,1,1216080.0,12768840.0,BTC,1,Security,3398.0,85000000.0,100000000.0,ERC-20,0,,,,1,0,,,,0,10.0,0,0,0,0,1,,0.0,0,1,0,0.15,0.85,0.0,0.0,1,0,,,1.25,,No,No,0,9.0,0,0,unknown,joint-stock corporation,Saint Vincent and the Grenadines,unknown,0,0,0,0,0,1,1,1,0,0,0,Finance,0x888666ca69e0f178ded6d75b5726cee99a87d698,2016-08-25,2016-09-29,2016-09-26,0.0,10.682516098022461,10.682516098022461,10.682516098022461,0.05108211189508438,,1,1,BTC,BTC,83.66082000732422,83.66082000732422,,,,,,0,1,1,,1,,1,1,0,0,0,1,1,0,0,0,1,0,1,0.8500000238418579,12.567666053771973,0,1,0,0,0,0,0,0,1,0,1.0,33,36.0,1.25,1,Finance,2016-09-30,4.0,iconomi,icn,1216080.0,12768840.0,0.0
ICOS,ICOS,ICOS,1,8300000.0,,tokens,0,Utility-token,,,532337.0,ERC-20,0,36.3752,43.650240000000004,43.650240000000004,0,1,,29.10016,32.73768,0,33.0,1,1,0,1,1,1.0,0.0,0,0,0,0.2,,,0.0,1,0,,,,,No,No,1,22.0,1,1,high,limited liability partnership,Singapore,12 Marina boulevard #30-03 Marina bay financial centre singapore 018982,0,0,0,0,0,0,0,0,1,0,0,Finance,0x014b50466590340d41307cc54dcee990c8d58aa8,2017-08-15,2017-09-15,2017-09-15,8.300000190734863,,8.300000190734863,,-0.13947072625160217,33.33333206176758,0,0,tokens,tokens,,,,30.918920516967773,,40.012718200683594,16.66666603088379,0,0,0,,0,0.0,1,1,1,0,0,1,1,0,0,0,0,1,1,,,0,0,1,0,0,0,1,0,0,1,1.0,32,32.0,,0,Finance,2017-10-23,38.0,icos,icos,8300000.0,,0.0
iDice,iDice,ICE,1,0.0,10488076.923076931,tokens,1,Security,,,5000000.0,ERC-20,0,1.36345,2.0976153846153864,2.0976153846153864,0,0,,,,0,12.0,1,1,0,0,1,,1.0,0,1,0,0.1,0.9,0.0,0.0,1,0,0.0,,,,No,No,0,,0,0,unknown,unknown,unknown,unknown,0,0,0,0,0,0,0,0,0,0,0,Gambling & Betting,0x5a84969bb663fb64f6d015dcf9f622aedc796750,2017-06-12,2017-06-26,2017-06-26,0.0,,0.0,,-0.07055365294218063,,1,0,tokens,tokens,,,,,,1.7305326461791992,35.0,0,1,1,,0,,1,0,0,0,0,1,1,0,0,0,1,0,1,,,0,1,0,0,0,0,0,0,0,0,,15,15.0,,1,Gambling & Betting,2017-06-23,-3.0,idice,ice,0.0,10488076.923076931,0.0
iExec RLC,iExec RLC,RLC,1,2420580.0,12102900.0,BTC,1,Utility-token,1100.0,60000000.0,87000000.0,ERC-20,0,0.20171500000004033,0.20171500000004033,0.20171500000004033,0,0,,,,1,40.0,1,1,1,0,0,1.0,1.0,1,1,0,0.31,0.69,0.0,0.0,0,1,0.0,0.0,,,No,No,0,18.0,1,0,high,joint-stock corporation,France,"15 Rue des Cuirassiers 69003 Lyon, France",0,0,0,0,0,0,0,0,1,1,0,Cloud Computing,0x607f4c5bb672230e8672085532f7e901544a7375,2017-04-19,2017-05-12,2017-04-19,0.0,11.742963790893555,11.742963790893555,11.742963790893555,0.0,,1,1,BTC,BTC,97.02603149414062,97.02603149414062,,,0.20171500742435455,0.20171500742435455,0.0,0,0,0,2.973964214324951,0,,1,1,1,0,0,1,1,0,0,0,0,1,1,0.6896551847457886,17.027297973632812,0,0,1,0,0,0,1,0,1,0,1.0,1,24.0,,1,Cloud Computing,2017-04-20,1.0,iexecrlc,rlc,2420580.0,12102900.0,0.0
Ignis,Ignis,IGNIS,1,0.0,36094212.0,tokens,1,Utility-token,,,999449694.0,No,0,0.0226296,0.0820323,,0,0,,,,1,57.0,0,0,2,0,0,1.0,,0,1,0,0.56,0.44,0.0,0.0,0,1,0.0,0.0,,,No,No,0,4.0,1,0,unknown,joint-stock corporation,Switzerland,"c/o IBEX SERVICES Ltd, Via Balestra 6, 6830 Chiasso",0,0,0,0,1,0,1,0,1,1,1,Blockchain Infrastructure,not applicable,2017-08-05,2017-10-14,2017-11-04,0.0,15.0,15.0,15.0,0.8192169070243835,,1,0,tokens,tokens,41.55791091918945,41.55791091918945,,,,0.052330948412418365,72.4137954711914,0,0,0,,0,,0,1,1,0,1,0,0,0,0,0,1,0,1,,,0,0,1,0,0,0,1,0,1,0,1.0,92,71.0,,1,Blockchain Infrastructure,2017-12-13,39.0,ignis,ignis,0.0,36094212.0,0.0
Incent,Incent,INCNT,1,1335560.5,5335560.5,USD,0,Cryptocurrency,,9447314.999999996,46016625.0,Waves,0,0.07456900000000001,0.12428166666669153,0.12428166666669153,0,1,10800000.0,0.031070416666691525,0.031070416666691525,0,10.0,0,0,0,0,0,,0.0,0,0,0,0.56,,,0.0,1,0,,,,,No,No,0,8.0,0,0,unknown,joint-stock corporation,Australia,unknown,0,0,0,0,0,0,0,0,0,0,0,Commerce & Advertising,not applicable,2016-10-01,2016-11-30,2016-11-30,0.33556050062179565,1.1133910417556763,1.4489514827728271,1.4489514827728271,0.19434760510921478,75.0,1,1,USD,USD,27.1564998626709,22.267820358276367,0.031070416793227196,0.031070416793227196,0.11785263568162918,0.11785263568162918,40.0,0,1,1,42.418983459472656,0,0.0,1,1,0,0,0,0,1,0,0,0,1,0,1,0.20530220866203308,5.423181056976318,0,0,0,1,0,1,1,0,1,0,1.0,61,61.0,,1,Commerce & Advertising,2016-12-07,7.0,incent,incnt,1335560.5,5335560.5,0.0
indaHash,indaHash,IDH,1,8532187.500001093,73214748.60333951,tokens,1,Utility-token,,,400000000.0,ERC-20,0,0.21330468750002732,0.22879608938543594,0.25596562500000003,0,1,67200000.0,0.182832589285726,0.182832589285726,1,31.0,1,1,2,1,1,1.0,1.0,0,1,0,0.2,0.632,0.168,0.0,0,1,0.0,0.0,,,No,No,0,16.0,0,0,unknown,limited liability partnership,Ireland,"22 Northumberland Road, Ballsbridge, Dublin",0,0,0,1,0,1,1,1,0,0,0,Social Networks,0x5136c98a80811c3f46bdda8b5c4555cfd9f812f0,2017-11-29,2017-12-20,2017-12-20,12.28635025024414,43.41176986694336,55.6981201171875,55.6981201171875,0.5194999575614929,20.089284896850586,1,1,tokens,tokens,76.07499694824219,71.2504653930664,0.18283258378505707,0.18283258378505707,,0.2346351593732834,6.770833492279053,0,0,0,,0,0.0,1,1,1,0,0,1,1,0,0,0,1,0,1,,,0,0,1,0,0,0,1,0,0,1,1.0,22,22.0,,1,Social Networks,2018-01-24,35.0,indahash,idh,8532187.500001093,73214748.60333951,0.0
Indorse,Indorse Token,IND,1,4941450.0,16471500.0,ETH,1,Utility-token,,9026770.0,170622047.0,ERC-20,0,0.32943,0.32943,0.32943,0,1,22995970.0,0.263544,0.263544,0,41.0,1,1,0,0,0,1.0,1.0,1,1,0,0.65,0.2152227516646779,0.1347772483353221,0.0,0,1,0.0,0.0,0.1846153846153846,,No,Coinsilium,0,8.0,1,0,medium,joint-stock corporation,Singapore,6 EU TONG SEN STREET #09-09 THE CENTRAL SINGAPORE 059817,0,0,0,0,0,1,1,0,0,0,1,Social Networks,0xf8e386eda857484f5a12e4b5daa9984e06e73705,2017-08-06,2017-09-07,2017-09-07,6.205145835876465,2.973688840866089,9.178834915161133,9.178834915161133,0.3585326075553894,20.0,1,1,ETH,ETH,55.725555419921875,28.965383529663086,0.2635439932346344,0.2635439932346344,0.3294300138950348,0.3294300138950348,0.0,0,0,0,12.990653038024902,1,0.0,1,1,1,0,0,1,1,1,0,1,0,0,1,0.05290506035089493,56.20802307128906,0,0,1,0,0,0,1,0,1,0,1.0,33,33.0,0.14521385729312897,1,Social Networks,2017-09-19,12.0,indorse,ind,4941450.0,16471500.0,0.0
Insights Network,Insights Network,INSTAR,1,0.0,20318320.0,ETH,1,Utility-token,,105000000.0,300000000.0,ERC-20,0,0.19081818181815052,0.2098999999999748,0.2098999999999748,0,1,15000000.0,0.05,0.05,1,24.0,1,0,1,0,1,1.0,1.0,0,1,0,0.6,0.35,0.05,0.0,1,0,,,1.0,0.075,No,No,0,11.0,1,1,low,unknown,Cayman Islands,unknown,0,0,0,0,0,1,1,1,0,0,1,Data Analytics,0xc72fe8e3dd5bef0f9f31f259399f301272ef2a2d,2018-01-27,2018-02-14,2018-02-14,0.75,17.37626075744629,18.12626075744629,18.12626075744629,-0.18645079433918,76.17913055419922,1,0,ETH,ETH,89.21141052246094,88.79791259765625,0.05000000074505806,0.05000000074505806,0.16548818349838257,0.16548818349838257,9.090909004211426,0,0,0,28.036123275756836,1,1.0,1,0,0,1,0,1,1,0,0,0,1,0,1,0.3499999940395355,49.646461486816406,0,0,1,0,0,0,1,0,0,0,,19,19.0,1.0,1,Data Analytics,2018-03-03,17.0,insightsnetwork,instar,0.0,20318320.0,0.0
Inspeer,Inspeer,INSP,1,0.0,30000000.0,USD,1,Security,,9273924.346,50000000.0,ERC-20,0,0.8,1.0,1.0,0,0,,,,1,34.0,1,0,3,1,1,,0.0,0,0,0,0.15,0.85,0.0,0.0,1,0,,,,,No,No,0,,0,1,low,joint-stock corporation,Cyprus,"Inspeer Holdings Limited, CHRYSANTHOU MYLONA, 10, MAGNUM HOUSE, 3030 LIMASSOL, CYPRUS",1,0,0,0,0,1,1,0,1,0,0,Finance,unknown,2017-11-14,2018-02-05,2018-02-05,0.0,8.483866691589355,8.483866691589355,8.483866691589355,0.04702794551849365,,1,0,USD,USD,28.279556274414062,28.279556274414062,,,0.9148087501525879,0.9148087501525879,20.0,0,0,0,8.51913070678711,0,,1,1,1,1,0,1,1,0,0,0,1,0,1,0.18547849357128143,45.74043273925781,0,1,0,0,0,0,0,0,1,0,1.0,84,84.0,,1,Finance,,,inspeer,insp,0.0,30000000.0,1.0
InsurePal,Kibo Lotto,IPL,1,5000000.0,18000000.0,USD,1,Utility-token,,60300000.0,300000000.0,ERC-20,0,0.0909090909090909,0.1,0.0909090909090909,0,1,140700000.0,0.085,,1,51.0,0,0,2,0,1,1.0,1.0,0,1,0,0.31,0.201,0.489,0.0,0,1,0.0,0.0,1.5,,No,No,0,48.0,1,1,neutral,joint-stock corporation,Liechtenstein,"c/o RATUS Aktiengesellschaft, Landstrasse 60, 9490 Vaduz",0,0,0,0,0,1,1,1,1,0,0,Insurance,0x64cdf819d3e75ac8ec217b3496d7ce167be42e80,2018-01-16,2018-02-06,2018-01-16,12.0,5.400000095367432,17.399999618530273,17.399999618530273,0.0,15.0,1,1,USD,USD,96.66666412353516,90.0,0.08528784662485123,0.08528784662485123,0.09090909361839294,0.09090909361839294,9.090909004211426,0,0,0,13.432836532592773,1,0.0,1,1,1,1,0,1,1,0,0,0,0,0,1,0.20100000500679016,26.865671157836914,1,0,1,0,0,0,1,0,1,0,1.0,1,22.0,1.0480881929397583,1,Insurance,2018-01-19,3.0,insurepal,ipl,5000000.0,18000000.0,0.0
InvestFeed,MiniApps,IFT,1,403770.0,7537040.0,ETH,1,Utility-token,,,191381257.670442,ERC-20,0,0.026918,0.026918,0.026918,0,1,,,,1,37.0,1,1,3,1,1,1.0,1.0,0,0,0,0.11,,,0.0,1,0,,,,,No,No,0,,1,1,high,joint-stock corporation,United States,"Investfeed Inc., 1135 E 57th St. New York, NY 10022",0,0,1,0,0,0,0,0,1,1,0,Trading & Exchanges,0x7654915a1b82d6d2d0afc37c52af556ea8983c7e,2017-07-23,2017-08-07,2017-08-07,,,,,0.213113933801651,,1,1,ETH,ETH,,,,,0.026917999610304832,0.026917999610304832,0.0,0,0,0,,0,0.0,1,1,1,0,0,1,1,0,0,0,0,1,1,,,0,0,1,0,0,0,1,0,1,0,1.0,16,16.0,,0,Trading & Exchanges,2017-08-13,6.0,investfeed,ift,403770.0,7537040.0,0.0
IP Exchange (IPSX),Mirocana,IPSX,1,5122080.0,9219744.0,ETH,1,Utility-token,,211764705.87,1714102658.83,ERC-20,0,0.0120938000007114,0.0120938000007114,0.0120938000007114,0,1,596470588.2,0.009302923077490007,,1,15.0,1,1,1,0,1,1.0,0.0,0,1,0,0.5,0.168627451,0.331372549,0.0,1,0,,,0.65,0.25,No,No,1,6.0,0,0,unknown,joint-stock corporation,Switzerland,Geralka Project AG   Bahnhofstrasse 4 6052 Hergiswil NW,0,0,0,0,0,1,1,1,0,0,0,Marketplaces,0x001f0aa5da15585e5b2305dbab2bac425ea71007,2018-02-28,2018-03-05,2018-03-05,5.548920154571533,2.561039924621582,8.109959602355957,8.109959602355957,0.10709685832262039,23.076923370361328,1,1,ETH,ETH,87.96295928955078,69.76744079589844,0.009302923455834389,0.009302923455834389,0.012093800120055676,0.012093800120055676,0.0,0,1,1,17.030569076538086,1,1.0,1,1,1,0,1,1,1,0,0,0,1,0,1,0.12354260683059692,20.730012893676758,0,0,1,0,0,0,1,0,1,0,1.0,6,6.0,0.6499999761581421,1,Marketplaces,2018-03-27,22.0,ipexchangeipsx,ipsx,5122080.0,9219744.0,0.0
Iungo,Pally,ING,1,5591550.0,44732400.0,tokens,1,Utility-token,,38700000.0,76000000.0,ERC-20,0,0.69894375,1.11831,1.11831,0,1,1300000.0,0.3727699999999627,0.3727699999999627,1,25.0,1,0,1,0,1,1.0,1.0,0,1,0,0.4736842105263157,0.0171052631578947,0.5092105263157896,0.0,1,0,,,0.3333333333333333,,No,No,0,10.0,1,1,medium,joint-stock corporation,Estonia,"Harju maakond, Tallinn, Kesklinna linnaosa, Parda tn 4, 10151",0,0,0,0,0,0,1,1,0,0,0,Communications,0x24ddff6d8b8a42d835af3b440de91f3386554aa4,2017-12-07,2018-01-31,2018-01-31,,23.0,23.0,,-0.5603297352790833,66.66666412353516,1,1,tokens,tokens,,,0.3727700114250183,0.3727700114250183,0.594315230846405,0.594315230846405,37.5,0,0,0,48.5831298828125,1,0.0,1,1,1,0,0,1,1,0,0,0,0,0,1,0.5092105269432068,45.1679573059082,0,0,1,0,0,0,1,0,1,0,1.0,56,56.0,0.3333333432674408,0,Communications,2018-02-04,4.0,iungo,ing,5591550.0,44732400.0,0.0
iXledger,Polkadot,IXT,1,0.0,18642666.6666669,tokens,1,Utility-token,,37633295.0,65778844.0,ERC-20,0,0.1370784313725427,0.186426666666669,0.17106851549755814,0,1,12306000.0,0.11930034129692657,0.11930034129692657,1,15.0,0,0,0,0,1,1.0,0.0,0,1,0,0.2307692307692308,0.6461707692307692,0.12306,0.0,1,0,,,,,No,No,0,6.0,1,1,high,limited liability partnership,United Kingdom,"228a High street, London, England, BR1 1PQ",0,0,0,0,0,0,0,0,0,0,0,Finance,0xfca47962d45adfdfd1ab2d972315db4ce7ccf094,2017-07-11,2017-07-31,2017-07-13,1.4681099653244019,6.133864402770996,7.6019744873046875,7.6019744873046875,0.008565354160964489,36.0068244934082,1,0,tokens,tokens,40.77729034423828,35.71483612060547,0.11930034309625626,0.11930034309625626,0.16299036145210266,0.16299036145210266,26.47058868408203,0,0,0,18.346282958984375,0,0.0,1,1,1,0,0,1,1,0,0,0,0,1,1,0.5721185207366943,10.721317291259766,0,0,1,0,0,0,1,0,0,1,1.0,3,21.0,,1,Finance,2017-07-27,14.0,ixledger,ixt,0.0,18642666.6666669,0.0
Jibrel Network,Proof Suite,JNT,1,3219299.0,33219299.0,USD,0,Utility-token,,120000000.0,200000000.0,ERC-20,0,0.2375,0.25,0.25,0,1,20000000.0,0.15,0.225,0,8.0,0,0,1,0,1,1.0,1.0,0,1,0,0.3,0.6,0.1,0.0,0,1,0.0,0.0,3.666666666666667,0.5,No,No,0,12.0,1,1,neutral,joint-stock corporation,Switzerland,"Baarerstrasse 10, 6302 Zug",0,0,0,0,0,1,1,1,0,1,0,Finance,0xa5fd1a791c4dfcaacc963d4f73c6ae5824149ea7,2017-11-27,2018-01-27,2017-12-27,3.219299077987671,30.0,33.21929931640625,33.21929931640625,0.4781906008720398,40.0,1,0,USD,USD,100.0,100.0,0.1609649509191513,0.1609649509191513,0.25,0.25,5.0,0,0,0,5.087715148925781,1,1.0,1,1,1,0,1,1,1,0,0,0,0,0,1,0.6000000238418579,49.999996185302734,0,0,1,0,0,0,1,0,1,0,1.0,31,62.0,3.071371078491211,1,Finance,2018-02-05,40.0,jibrelnetwork,jnt,3219299.0,33219299.0,0.0
Kibo Lotto,Kibo Lotto,KIBIT,1,0.0,42640000.0,tokens,1,Security,,,350000000.0,ERC-20,0,0.2132,0.4264,0.4264,0,0,,,,0,17.0,0,0,0,0,1,,1.0,0,1,0,0.7142857142857143,0.2857142857142857,0.0,0.0,0,1,0.0,0.0,,,No,No,0,,0,1,unknown,unknown,unknown,unknown,0,0,0,0,0,0,0,0,1,0,0,Gambling & Betting,unknown,2016-09-29,2016-11-09,2016-11-09,0.0,3.098829984664917,3.098829984664917,3.098829984664917,0.17741429805755615,,1,0,tokens,tokens,7.267425060272217,7.267425060272217,,,,0.3197999894618988,50.0,0,0,0,,0,,1,0,0,0,0,1,1,0,0,0,1,0,1,,,0,1,0,0,0,0,0,0,0,0,,42,42.0,,1,Gambling & Betting,,,kibolotto,kibit,0.0,42640000.0,0.0
KICKICO,REALT,KICK,1,13558600.0,22096820.2,ETH,0,Cryptocurrency,10000.0,291137782.2451,457760867.8408,ERC-20,1,0.06178446115287232,0.08217333333332512,0.08217333333332512,0,1,30000000.0,0.03635988200589193,0.04108666666667488,1,25.0,1,1,3,1,0,,1.0,0,0,0,0.276614045654372,0.6360040857541188,0.0873818685915092,0.0,1,0,,,0.25,,No,No,0,19.0,0,0,medium,joint-stock corporation,Singapore,176 JOO CHIAT ROAD #02-02 SINGAPORE 427447,0,0,0,0,0,1,1,1,0,0,1,Finance,0x27695e09149adc738a978e9a678f99e4c39e9eb9,2017-08-29,2017-09-16,2017-09-16,1.2325999736785889,20.864219665527344,22.096820831298828,22.096820831298828,-0.23361967504024506,55.75221252441406,1,1,ETH,ETH,100.0,100.0,0.04108666628599167,0.04108666628599167,0.07166441529989243,0.07166441529989243,24.812030792236328,0,0,0,16.264909744262695,1,0.0,1,1,1,0,0,1,1,0,0,0,0,0,0,0.6360040903091431,32.8051643371582,0,0,0,1,0,1,1,0,1,0,1.0,19,19.0,0.25,1,Finance,2017-10-04,18.0,kickico,kick,13558600.0,22096820.2,0.0
Kik,Science Blockchain,KIN,1,50000000.0,111225980.57846785,tokens,0,Cryptocurrency,10000.0,405582184529.2432,10000000000000.0,ERC-20,0,0.00011958199331732,0.00011958199331732,0.00011958199331732,0,1,488000000000.0,8.370739532212401e-05,8.370739532212401e-05,0,28.0,0,0,8,0,1,,0.0,0,0,0,0.9,0.0512,0.0488,0.0,0,1,0.0,0.0,3.8,,No,Blockchain Capital; Pantera Capital,0,20.0,1,1,low,joint-stock corporation,Canada,"KIK Interactive Inc., 420 WEBER STREET NORTH, SUITE 1, WATERLOO ON N2L 4E7, Canada ",0,0,0,0,0,1,0,1,0,0,0,Blockchain Infrastructure,0x818fc6c2ec5986bc6e2cbf00939d90556ab12ce5,2017-09-12,2017-09-26,2017-09-26,50.0,48.500328063964844,98.50032806396484,98.50032806396484,-0.05946042388677597,30.0,1,0,tokens,tokens,88.5587387084961,79.21527099609375,8.370739669771865e-05,8.370739669771865e-05,0.00011958199320361018,0.00011958199320361018,0.0,0,0,0,7.819857120513916,1,0.0,1,1,1,0,0,1,1,1,0,1,1,0,1,0.04055821895599365,1195.8199462890625,0,0,0,1,0,1,1,0,1,0,1.0,15,15.0,3.6818766593933105,1,Blockchain Infrastructure,2017-09-27,1.0,kik,kin,50000000.0,111225980.57846785,0.0
Komodo,Seratio Project,KMD,1,0.0,21930900.0,BTC,1,New Blockchain,,90000000.0,100000000.0,No,1,0.07549493016,0.0943686627,0.0943686627,1,0,,,,0,7.0,0,0,0,0,0,,,1,0,0,0.1,0.9,0.0,0.0,1,0,,,,,No,No,0,,0,0,unknown,unknown,unknown,unknown,0,0,0,0,0,0,0,0,0,0,0,Blockchain Infrastructure,not applicable,2016-10-15,2016-11-20,2016-11-20,0.0,,0.0,,0.1350979208946228,,1,0,BTC,BTC,,,,,,0.08493179827928543,20.0,0,1,1,,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0.8999999761581421,,0,0,0,0,1,1,1,0,0,0,,37,37.0,,1,Blockchain Infrastructure,2017-02-05,77.0,komodo,kmd,0.0,21930900.0,0.0
Kyber Network,SRG,KNC,1,0.0,58700000.0,ETH,1,Utility-token,25000.0,57568200.0,226000000.0,ERC-20,0,0.4891666666666764,0.4891666666666764,0.4891666666666764,0,1,80427400.0,,,1,19.0,1,1,0,0,0,1.0,1.0,1,1,0,0.3894,0.2547265486725664,0.3558734513274336,0.0,1,0,,,0.75,,No,Pantera Capital; Kenetic Capital,0,7.0,0,0,high,joint-stock corporation,Singapore,6 EU TONG SEN STREET #09-16 THE CENTRAL SINGAPORE 059817,0,0,0,0,0,1,0,1,0,0,0,Trading & Exchanges,0xdd974d5c2e2928dea5f71b9825b8b646686bd200,2017-09-15,2017-09-16,2017-09-18,30.5395565032959,28.160444259643555,58.70000076293945,58.70000076293945,0.11116081476211548,,1,0,ETH,ETH,100.0,100.0,,,0.4891666769981384,0.4891666769981384,0.0,0,0,0,13.040706634521484,1,0.0,1,1,1,0,0,1,1,1,0,1,0,1,1,0.2547265589237213,110.5516586303711,0,0,1,0,0,0,1,0,1,0,1.0,4,2.0,0.75,1,Trading & Exchanges,2017-09-24,6.0,kybernetwork,knc,0.0,58700000.0,0.0
