unnamed: 0,coin_ticker,received_money,sold_coins,role_of_token,category,goal,total_tokens,interest,fundraising_goal,start_end_date_coin_sell,ico_token_price,received_money.1,end_date,token_type,available_for_token_sale,min_max_personal_cap,whitelist,accepts,token_issue,cant_participate,end_date_clean,end_date_parsed,ico_successful,name_std,symbol_std
652,CLV,57395500.0,"$57,400,000 (100%) ",Utility,Blockchain Service,57400000.0,,"
High ",,Market & Returns,,57395500.0,Ended: 4 May 2021 ,,,,,,,,4 May 2021,2021-05-04,0,clv,clv
653,Mina Protocol ,48150000.0,"$48,150,000 (100%) ",Utility,Protocol,48150000.0,,"
Very High ",,Market & Returns,,48150000.0,Ended: 13 Apr 2021 ,,,,,,,,13 Apr 2021,2021-04-13,0,minaprotocol,minaprotocol
654,Casper,62900000.0,"$62,900,000 (100%) ",Utility,Blockchain,62900000.0,,"
High ",,Market & Returns,,62900000.0,Ended: 7 Apr 2021 ,,,,,,,,7 Apr 2021,2021-04-07,0,casper,casper
655,Fei Protocol,1681161950.0,,Utility,Stablecoin,,,"
High ",,Market & Returns,,1681161950.0,Ended: 3 Apr 2021 ,,,,,,,,3 Apr 2021,2021-04-03,0,feiprotocol,feiprotocol
656,Tidal Finance,2393075.0,"$2,390,000 (100%) ",Utility,Insurance,2390000.0,,"
High ",,Market & Returns,,2393075.0,Ended: 28 Mar 2021 ,,,,,,,,28 Mar 2021,2021-03-28,0,tidalfinance,tidalfinance
657,Convergence,2300000.0,"$2,300,000 (100%) ",Utility,Protocol,2300000.0,,"
High ",,Market & Returns,,2300000.0,Ended: 25 Mar 2021 ,,,,,,,,25 Mar 2021,2021-03-25,0,convergence,convergence
658,Konomi Network,200000.0,"$200,000 (100%) ",Utility,Platform,200000.0,,"
High ",,Market & Returns,,200000.0,Ended: 16 Mar 2021 ,,,,,,,,16 Mar 2021,2021-03-16,0,konominetwork,konominetwork
659,Kine,7000000.0,,Utility,Protocol,,"100,000,000",Ticker: KINE,5000000000.0,11 Mar – 13 Mar, 1 KINE = 4 USD ,7000000.0,Ended: 13 Mar 2021 ,ERC20,,,,USDC,,,13 Mar 2021,2021-03-13,0,kine,kine
660,Radicle,24684000.0,,Utility,Network,,,"
High ",,Market & Returns,,24684000.0,Ended: 27 Feb 2021 ,,,,,,,,27 Feb 2021,2021-02-27,0,radicle,radicle
661,HOPR,,,Switzerland,Protocol,,,"
Very High ",,Market & Returns,,,Ended: 27 Feb 2021 ,,,,,,,,27 Feb 2021,2021-02-27,0,hopr,hopr
662,Sifchain Finance,26000000.0,"$26,000,000 (100%) ",Utility,DEX,26000000.0,,"
Medium ",,Market & Returns,,26000000.0,Ended: 26 Feb 2021 ,,,,,,,,26 Feb 2021,2021-02-26,0,sifchainfinance,sifchainfinance
663,HydraDX,22857737.0,,Utility,Protocol,,,Ticker: HDX,,8 Feb – 11 Feb, 1 HDX = 0.055 USD ,22857737.0,Ended: 11 Feb 2021 ,Polkadot,5%,,,,,,11 Feb 2021,2021-02-11,0,hydradx,hydradx
664,Razor Network,9000000.0,,Governance,Network,,,"
Medium ",,Market & Returns,,9000000.0,Ended: 6 Feb 2021 ,,,,,,,,6 Feb 2021,2021-02-06,0,razornetwork,razornetwork
665,Stegos,15853577.0,"$20,970,000 (76%) ",Utility,Blockchain,20970000.0,"1,000,000,000",Ticker: STG,,1 Jan – 2 Jan, 1 STG = 0.023 USD ,15853577.0,Ended: 2 Jan 2021 ,ERC20,"51,25%",100000 USD / TBA,,,Within 30-60 days after TGE.,,2 Jan 2021,2021-01-02,0,stegos,stegos
666,API3,23000000.0,,Utility,Blockchain Service,,,"
High ",,Market & Returns,,23000000.0,Ended: 4 Dec 2020 ,,,,,,,,4 Dec 2020,2020-12-04,0,api3,api3
667,Oasis Labs,45000000.0,,Utility,Blockchain,,,"
High ",,Market & Returns,,45000000.0,Ended: 18 Nov 2020 ,,,,,,,,18 Nov 2020,2020-11-18,0,oasislabs,oasislabs
668,CertiK,,,Utility,Verification,,"100,000,000",Ticker: CTK,,23 Oct – 8 Nov,,,Ended: 8 Nov 2020 ,ERC20,,,,,,"China, USA",8 Nov 2020,2020-11-08,0,certik,certik
669,Marlin,3000000.0,,Utility,Protocol,,,"
Watch List ",,Market & Returns,,3000000.0,Ended: 1 Nov 2020 ,,,,,,,,1 Nov 2020,2020-11-01,0,marlin,marlin
670,The Graph,12001540.0,"$12,000,000 (100%) ",Utility,Protocol,12000000.0,,"
High ",,Market & Returns,,12001540.0,Ended: 23 Oct 2020 ,,,,,,,,23 Oct 2020,2020-10-23,0,thegraph,thegraph
671,Radix DLT,12841206.0,"$28,000,000 (46%) ",Utility,Blockchain,28000000.0,"4,200,000,000",Ticker: RADIX,720000000000.0,8 Oct – 22 Oct, 1 RADIX = 0.039 USD ,12841206.0,Ended: 22 Oct 2020 ,ERC20,16.4%,5000$ / 2000000$,"Yes (period isn't set, ",,17 November 2020,,22 Oct 2020,2020-10-22,0,radixdlt,radixdlt
672,Injective Protocol,43600000.0,,Utility,DEX,,,"
High ",,Market & Returns,,43600000.0,Ended: 20 Oct 2020 ,,,,,,,,20 Oct 2020,2020-10-20,0,injectiveprotocol,injectiveprotocol
673,Wing,,,Utility,DeFi,,,"
High ",,Market & Returns,,,Ended: 15 Oct 2020 ,,,,,,,,15 Oct 2020,2020-10-15,0,wing,wing
674,UniLend,3250000.0,"$3,250,000 (100%) ",Utility,DeFi,3250000.0,,"
High ",,Market & Returns,,3250000.0,Ended: 10 Oct 2020 ,,,,,,,,10 Oct 2020,2020-10-10,0,unilend,unilend
675,Bella Protocol,,,Utility,DeFi,,,"
High ",,Market & Returns,,,Ended: 9 Oct 2020 ,,,,,,,,9 Oct 2020,2020-10-09,0,bellaprotocol,bellaprotocol
676,Flow ,19500000.0,"$19,500,000 (100%) ",Utility,Blockchain,19500000.0,,"
Very High ",,Market & Returns,,19500000.0,Ended: 6 Oct 2020 ,,,,,,,,6 Oct 2020,2020-10-06,0,flow,flow
677,NuCypher ,125639115.0,,7,Blockchain Service,,,"
Very High ",,Market & Returns,,125639115.0,Ended: 30 Sep 2020 ,,,,,,,,30 Sep 2020,2020-09-30,0,nucypher,nucypher
678,Flamingo Finance,,,Utility,DeFi,,"250,000,000",Ticker: FLM,,23 Sep – 29 Sep,,,Ended: 29 Sep 2020 ,NEP-5,,,,NEO,,,29 Sep 2020,2020-09-29,0,flamingofinance,flamingofinance
679,Linear Finance,307500.0,"$310,000 (100%) ",Utility,Protocol,310000.0,,"
High ",,Market & Returns,,307500.0,Ended: 17 Sep 2020 ,,,,,,,,17 Sep 2020,2020-09-17,0,linearfinance,linearfinance
680,Frontier,600000.0,"$600,000 (100%) ",Utility,DeFi,600000.0,,Ticker: FRONT,150000.0,15 Sep – 15 Sep, 1 FRONT = 0.08 USD ,600000.0,Ended: 15 Sep 2020 ,ERC20,,,,USDT,,,15 Sep 2020,2020-09-15,1,frontier,frontier
681,Perpetual Protocol ,7150000.0,"$9,750,000 (73%) ",Utility,Protocol,9750000.0,,"
High ",,Market & Returns,,7150000.0,Ended: 12 Sep 2020 ,,,,,,,,12 Sep 2020,2020-09-12,0,perpetualprotocol,perpetualprotocol
682,Stafi,1015000.0,"$1,020,000 (100%) ",Utility,Protocol,1020000.0,,"
High ",,Market & Returns,,1015000.0,Ended: 10 Sep 2020 ,,,,,,,,10 Sep 2020,2020-09-10,0,stafi,stafi
683,SKALE Network,,,Utility,Protocol,,"4,140,000,000",Ticker: SKL,4375000.0,3 Sep – 5 Sep, 1 SKL = 0.03 USD ,,Ended: 5 Sep 2020 ,ERC777,1.8%,"TBA / $1,153",,"ETH, DAI, USDC",All purchasers will have an opportunity to put their tokens to use by the first epoch on October 1st and therefore satisfy Proof of Use ending on December 1st.,,5 Sep 2020,2020-09-05,0,skalenetwork,skalenetwork
684,OIN Finance,192000.0,"$190,000 (100%) ",Utility,DeFi,190000.0,"100,000,000",Ticker: OIN,192000.0,31 Aug – 31 Aug, 1 OIN = 0.08 USD ,192000.0,Ended: 31 Aug 2020 ,Ontology,,600 USD / 600 USD,,USDT,,,31 Aug 2020,2020-08-31,1,oinfinance,oinfinance
685,Near Protocol ,33625000.0,"$33,630,000 (100%) ",Utility,Blockchain,33630000.0,,"
High ",,Market & Returns,,33625000.0,Ended: 25 Aug 2020 ,,,,,,,,25 Aug 2020,2020-08-25,0,nearprotocol,nearprotocol
686,Celo,6500000.0,"$1,248,000,000 (1%) ",Utility,Payments,1248000000.0,,"
Medium ",,Market & Returns,,6500000.0,Ended: 11 May 2020 ,,,,,,,,11 May 2020,2020-05-11,0,celo,celo
687,JUST,4066920.0,"$4,070,000 (100%) ",Utility,Stablecoin,4070000.0,,"
High ",,Market & Returns,,4066920.0,Ended: 5 May 2020 ,,,,,,,,5 May 2020,2020-05-05,0,just,just
688,UMA,,,Utility,Smart Contract,,,"
Medium ",,Market & Returns,,,Ended: 29 Apr 2020 ,,,,,,,,29 Apr 2020,2020-04-29,0,uma,uma
689,xDai,,,Utility,Blockchain Service,,,"
High ",,Market & Returns,,,Ended: 28 Apr 2020 ,,,,,,,,28 Apr 2020,2020-04-28,0,xdai,xdai
690,Cartesi,1500000.0,"$1,500,000 (100%) ",Utility,Dapp,1500000.0,,"
High ",,Market & Returns,,1500000.0,Ended: 21 Apr 2020 ,,,,,,,,21 Apr 2020,2020-04-21,0,cartesi,cartesi
691,Elixxir,17700000.0,"$23,000,000 (77%) ",Utility,Blockchain,23000000.0,"1,000,000,000",Ticker: XX,15000000.0,22 Jan – 20 Mar, 1 XX = 0.36 USD ,17700000.0,Ended: 20 Mar 2020 ,ERC-1404,4.3%,1000$ / 500000$,,"ETH, BTC, USD, USDC, GUSD",,USA,20 Mar 2020,2020-03-20,1,elixxir,elixxir
692,Band Protocol,10850000.0,"$10,850,000 (100%) ",Utility,Protocol,10850000.0,,"
High ",,Market & Returns,,10850000.0,Ended: 17 Sep 2019 ,,,,,,,,17 Sep 2019,2019-09-17,0,bandprotocol,bandprotocol
693,Blockstack,80500000.0,"$85,500,000 (94%) ",9,Network,85500000.0,,"
High ",,Market & Returns,,80500000.0,Ended: 8 Sep 2019 ,,,,,,,,8 Sep 2019,2019-09-08,0,blockstack,blockstack
694,Perlin,6700000.0,"$6,700,000 (100%) ",Utility,Protocol,6700000.0,,"
High ",,Market & Returns,,6700000.0,Ended: 25 Aug 2019 ,,,,,,,,25 Aug 2019,2019-08-25,0,perlin,perlin
695,UltrAlpha,2000000.0,"$2,000,000 (100%) ",Utility,Blockchain Service,2000000.0,,"
High ",,Market & Returns,,2000000.0,Ended: 14 Aug 2019 ,,,,,,,,14 Aug 2019,2019-08-14,0,ultralpha,ultralpha
696,Wink,16000000.0,"$16,000,000 (100%) ",Utility,Gambling,16000000.0,,"
High ",,Market & Returns,,16000000.0,Ended: 31 Jul 2019 ,,,,,,,,31 Jul 2019,2019-07-31,0,wink,wink
697,Ultra,5000000.0,"$5,000,000 (100%) ",Utility,Blockchain Platform,5000000.0,,"
High ",,Market & Returns,,5000000.0,Ended: 16 Jul 2019 ,,,,,,,,16 Jul 2019,2019-07-16,0,ultra,ultra
698,Elrond Network,5150000.0,"$5,150,000 (100%) ",17,Blockchain,5150000.0,,"
Very High ",,Market & Returns,,5150000.0,Ended: 2 Jul 2019 ,,,,,,,,2 Jul 2019,2019-07-02,0,elrondnetwork,elrondnetwork
699,Ampleforth,4999234.0,"$5,000,000 (100%) ",Utility,Protocol,5000000.0,,"
High ",,Market & Returns,,4999234.0,Ended: 27 Jun 2019 ,,,,,,,,27 Jun 2019,2019-06-27,0,ampleforth,ampleforth
703,Ozone Metaverse,1430000.0,"$1,430,000 (100%) ",Utility,Platform,1430000.0,"2,000,000,000",Not Rated,280000.0,16 Jun – 6 Jul, 1 OZONE = 0.007 USD ,1430000.0,Ended: 6 Jul 2023 ,Flow,"21,25%",,,,,,6 Jul 2023,2023-07-06,1,ozonemetaverse,ozonemetaverse
704,TypeIT,,,Utility,Blockchain Service,,"1,000,000,000",Not Rated,22000000000.0,28 Jun – 6 Jul, 1 TYPE = 0.05 USD ,,Ended: 6 Jul 2023 ,ERC20,,,,,,,6 Jul 2023,2023-07-06,0,typeit,typeit
705,EGO (Paysenger),4160000.0,"$4,160,000 (100%) ",Utility,Social Network,4160000.0,"500,000,000",Not Rated,859000.0,1 Jun – 5 Jul, 1 EGO = 0.06 USD ,4160000.0,Ended: 5 Jul 2023 ,BEP-20,26.6%,100$ / 2500$,"Yes (until 24 May, ","ETH, USDT, USDC, DOT",,"Afghanistan, Burundi, Central African Republic, Congo, Cuba, Puerto Rico, Somalia, Sudan, USA, Venezuela, Zimbabwe",5 Jul 2023,2023-07-05,1,egopaysenger,egopaysenger
706,Goracle,3725000.0,"$3,730,000 (100%) ",Utility,Blockchain Service,3730000.0,,Not Rated,,Market & Returns,,3725000.0,Ended: 5 Jul 2023 ,,,,,,,,5 Jul 2023,2023-07-05,0,goracle,goracle
707,BIDSHOP,250000.0,,Utility,DeFi,,,Not Rated,,Market & Returns,,250000.0,Ended: 30 Jun 2023 ,,,,,,,,30 Jun 2023,2023-06-30,0,bidshop,bidshop
708,Tectum,4202573.0,,Utility,Blockchain,,,Not Rated,,Market & Returns,,4202573.0,Ended: 30 Jun 2023 ,,,,,,,,30 Jun 2023,2023-06-30,0,tectum,tectum
709,Ethlas,8700000.0,,Utility,Gaming,,,Not Rated,,Market & Returns,,8700000.0,Ended: 28 Jun 2023 ,,,,,,,,28 Jun 2023,2023-06-28,0,ethlas,ethlas
710,Archway,27000000.0,"$27,000,000 (100%) ",Utility,Blockchain,27000000.0,"1,000,000,000",Not Rated,6000000.0,15 Jun – 23 Jun, 1 ARCH = 0.2 USD ,27000000.0,Ended: 23 Jun 2023 ,Cosmos Network,"19,5%",100$ / 1000$,,"USDT, USDC",,"Canada, China, Congo, Iraq, North Korea, USA",23 Jun 2023,2023-06-23,1,archway,archway
711,PolyGame,5225000.0,"$5,230,000 (100%) ",Utility,Platform,5230000.0,"5,000,000,000",Not Rated,100000.0,12 Jun – 16 Jun, 1 PGEM = 0.075 USD ,5225000.0,Ended: 16 Jun 2023 ,Polygon,6%,,,"USDC, BUSD",,,16 Jun 2023,2023-06-16,1,polygame,polygame
712,War Legends,,,Utility,Gaming,,"350,000,000",Not Rated,250000.0,9 Jun – 15 Jun, 1 WAR = 0.037 USD ,,Ended: 15 Jun 2023 ,Polygon,"21,97%",,,,,,15 Jun 2023,2023-06-15,0,warlegends,warlegends
713,OtterHome,,,Utility,DeFi,,,Not Rated,,Market & Returns,,,Ended: 13 Jun 2023 ,,,,,,,,13 Jun 2023,2023-06-13,0,otterhome,otterhome
714,HyperGPT,1665000.0,"$1,670,000 (100%) ",Utility,Marketplace,1670000.0,,Not Rated,,Market & Returns,,1665000.0,Ended: 11 Jun 2023 ,,,,,,,,11 Jun 2023,2023-06-11,0,hypergpt,hypergpt
715,Cyber Arena,2100000.0,"$2,100,000 (100%) ",Utility,Gaming,2100000.0,,Not Rated,,Market & Returns,,2100000.0,Ended: 8 Jun 2023 ,,,,,,,,8 Jun 2023,2023-06-08,0,cyberarena,cyberarena
716,KAIF,500000.0,,Utility,Platform,,"90,000,000",Not Rated,500000.0,June (no exact dates), 1 KAF = 0.15 USD ,500000.0,Ended: 8 Jun 2023 ,BEP-20,,,,BUSD,,,8 Jun 2023,2023-06-08,1,kaif,kaif
717,GPT Guru,1448000.0,"$1,450,000 (100%) ",Utility,Artificial Intelligence,1450000.0,,Not Rated,,Market & Returns,,1448000.0,Ended: 7 Jun 2023 ,,,,,,,,7 Jun 2023,2023-06-07,0,gptguru,gptguru
718,Metaverse Kombat,2200000.0,,Utility,Gaming,,"300,000,000",Not Rated,1200000.0,11 May – 4 Jun, 1 MVK = 0.08 USD ,2200000.0,Ended: 4 Jun 2023 ,BEP-20,11%,,,USDT,,,4 Jun 2023,2023-06-04,1,metaversekombat,metaversekombat
719,Cogito Protocol,,,Utility,DeFi,,,Not Rated,,Market & Returns,,,Ended: 3 Jun 2023 ,,,,,,,,3 Jun 2023,2023-06-03,0,cogitoprotocol,cogitoprotocol
720,The Qwan,500000.0,,Utility,Gaming,,,Not Rated,,Market & Returns,,500000.0,Ended: 30 May 2023 ,,,,,,,,30 May 2023,2023-05-30,0,theqwan,theqwan
721,Eldarune,1750500.0,"$1,750,000 (100%) ",Utility,Gaming,1750000.0,,Not Rated,,Market & Returns,,1750500.0,Ended: 30 May 2023 ,,,,,,,,30 May 2023,2023-05-30,0,eldarune,eldarune
722,Bware Labs,7200000.0,,Utility,Blockchain Platform,,"100,000,000",Not Rated,1780000000.0,24 May – 30 May, 1 INFRA = 0.5 USD ,7200000.0,Ended: 30 May 2023 ,ERC20,"0,25%",,,,,,30 May 2023,2023-05-30,0,bwarelabs,bwarelabs
723,Orbofi,2600000.0,"$2,600,000 (100%) ",Utility,Platform,2600000.0,,Not Rated,,Market & Returns,,2600000.0,Ended: 28 May 2023 ,,,,,,,,28 May 2023,2023-05-28,0,orbofi,orbofi
724,Pika Protocol,8700000.0,,Utility,Exchange,,,Not Rated,,Market & Returns,,8700000.0,Ended: 27 May 2023 ,,,,,,,,27 May 2023,2023-05-27,0,pikaprotocol,pikaprotocol
725,Wistaverse,930000.0,"$930,000 (100%) ",Utility,Platform,930000.0,,Not Rated,,Market & Returns,,930000.0,Ended: 25 May 2023 ,,,,,,,,25 May 2023,2023-05-25,0,wistaverse,wistaverse
726,BladeDAO,,,Utility,Gaming,,"10,000,000",Not Rated,,19 May – 24 May, 1 BLADE = 0.0008333 ETH ,,Ended: 24 May 2023 ,Own blockchain,,,,,,,24 May 2023,2023-05-24,0,bladedao,bladedao
727,Tenet,2400000.0,"$2,400,000 (100%) ",Utility,Blockchain,2400000.0,"1,200,000,000",Not Rated,1560000.0,10 May – 24 May, 1 TENET = 0.02 USD ,2400000.0,Ended: 24 May 2023 ,Own blockchain,10%,,,,,,24 May 2023,2023-05-24,1,tenet,tenet
728,The Unfettered,2500000.0,,Utility,Gaming,,,Not Rated,,Market & Returns,,2500000.0,Ended: 23 May 2023 ,,,,,,,,23 May 2023,2023-05-23,0,theunfettered,theunfettered
729,Turbos Finance,3750000.0,"$3,750,000 (100%) ",Utility,DEX,3750000.0,"10,000,000,000",Not Rated,750000.0,9 May – 15 May, 1 TURBOS = 0.005 USD ,3750000.0,Ended: 15 May 2023 ,Own blockchain,"10,5%",,,,,,15 May 2023,2023-05-15,1,turbosfinance,turbosfinance
730,WeFi,1125000.0,,Utility,Lending,,,Not Rated,,Market & Returns,,1125000.0,Ended: 15 May 2023 ,,,,,,,,15 May 2023,2023-05-15,0,wefi,wefi
731,LimeWire,10400000.0,,Utility,Marketplace,,,Not Rated,,Market & Returns,,10400000.0,Ended: 15 May 2023 ,,,,,,,,15 May 2023,2023-05-15,0,limewire,limewire
732,FitBurn,4600000.0,,Utility,Platform,,,Not Rated,,Market & Returns,,4600000.0,Ended: 14 May 2023 ,,,,,,,,14 May 2023,2023-05-14,0,fitburn,fitburn
733,Finblox,3900000.0,,Utility,Platform,,,Not Rated,,Market & Returns,,3900000.0,Ended: 13 May 2023 ,,,,,,,,13 May 2023,2023-05-13,0,finblox,finblox
734,ArbiPad,1200000.0,"$1,200,000 (100%) ",Utility,Platform,1200000.0,"10,000,000,000",Not Rated,1200000.0,8 May – 11 May, 1 ARBI = 0.0005 USD ,1200000.0,Ended: 11 May 2023 ,Own blockchain,24%,,,,,,11 May 2023,2023-05-11,1,arbipad,arbipad
735,SuiPad,1645000.0,"$1,650,000 (100%) ",Utility,Platform,1650000.0,,Not Rated,,Market & Returns,,1645000.0,Ended: 10 May 2023 ,,,,,,,,10 May 2023,2023-05-10,0,suipad,suipad
736,Hypercycle,7516000.0,,Utility,Platform,,,Not Rated,,Market & Returns,,7516000.0,Ended: 10 May 2023 ,,,,,,,,10 May 2023,2023-05-10,0,hypercycle,hypercycle
737,Radiant Capital,,,Utility,Market,,"1,000,000,000",Not Rated,15000000000.0,31 Mar – 10 May,,,Ended: 10 May 2023 ,BEP-20,,,,,,,10 May 2023,2023-05-10,0,radiantcapital,radiantcapital
738,Karate Combat,18000000.0,,Utility,Gaming,,,Not Rated,,Market & Returns,,18000000.0,Ended: 8 May 2023 ,,,,,,,,8 May 2023,2023-05-08,0,karatecombat,karatecombat
739,LitLab Games,2065000.0,"$2,070,000 (100%) ",Utility,Gaming,2070000.0,,Not Rated,,Market & Returns,,2065000.0,Ended: 8 May 2023 ,,,,,,,,8 May 2023,2023-05-08,0,litlabgames,litlabgames
740,Coinzix,2240000.0,"$2,240,000 (100%) ",Utility,Exchange,2240000.0,,Not Rated,,Market & Returns,,2240000.0,Ended: 2 May 2023 ,,,,,,,,2 May 2023,2023-05-02,0,coinzix,coinzix
741,Naviern,,,Utility,Blockchain Service,,,Not Rated,,Market & Returns,,,Ended: 30 Apr 2023 ,,,,,,,,30 Apr 2023,2023-04-30,0,naviern,naviern
742,BlueSale,1600000.0,"$1,600,000 (100%) ",Utility,DeFi,1600000.0,,Not Rated,,Market & Returns,,1600000.0,Ended: 28 Apr 2023 ,,,,,,,,28 Apr 2023,2023-04-28,0,bluesale,bluesale
743,Open Campus,2500000.0,,Utility,Education,,,Not Rated,,Market & Returns,,2500000.0,Ended: 28 Apr 2023 ,,,,,,,,28 Apr 2023,2023-04-28,0,opencampus,opencampus
744,Hepton,2620750.0,"$2,620,000 (100%) ",Utility,Blockchain Service,2620000.0,,Not Rated,,Market & Returns,,2620750.0,Ended: 26 Apr 2023 ,,,,,,,,26 Apr 2023,2023-04-26,0,hepton,hepton
745,GoSleep,2000000.0,,Utility,Gaming,,,Not Rated,,Market & Returns,,2000000.0,Ended: 19 Apr 2023 ,,,,,,,,19 Apr 2023,2023-04-19,0,gosleep,gosleep
746,PlayZap,4350000.0,,Utility,Gaming,,,Not Rated,,Market & Returns,,4350000.0,Ended: 18 Apr 2023 ,,,,,,,,18 Apr 2023,2023-04-18,0,playzap,playzap
747,Crown,,,Utility,Blockchain,,,Not Rated,,Market & Returns,,,Ended: 18 Apr 2023 ,,,,,,,,18 Apr 2023,2023-04-18,0,crown,crown
748,Yesports,6050000.0,,Utility,Platform,,,Not Rated,,Market & Returns,,6050000.0,Ended: 15 Apr 2023 ,,,,,,,,15 Apr 2023,2023-04-15,0,yesports,yesports
749,Reign of Terror,2670000.0,"$2,670,000 (100%) ",Utility,Gaming,2670000.0,"2,000,000,000",Not Rated,375000.0,4 Apr – 12 Apr, 1 REIGN = 0.0125 USD ,2670000.0,Ended: 12 Apr 2023 ,Solana,"14,5%",,,USDT,,,12 Apr 2023,2023-04-12,1,reignofterror,reignofterror
750,Reality Metaverse,750000.0,,Utility,Blockchain Service,,"1,000,000,000",Not Rated,700000.0,5 Apr – 11 Apr, 1 RLTM = 0.04 USD ,750000.0,Ended: 11 Apr 2023 ,Polygon,22%,,,USDT,,,11 Apr 2023,2023-04-11,1,realitymetaverse,realitymetaverse
751,Delysium,14000000.0,,Utility,Gaming,,"3,000,000,000",Not Rated,20000.0,10 Apr – 11 Apr, 1 AGI = 0.033 USD ,14000000.0,Ended: 11 Apr 2023 ,ERC20,20%,,,USDT,,,11 Apr 2023,2023-04-11,1,delysium,delysium
752,Moovy,3610000.0,"$3,610,000 (100%) ",Utility,Gaming,3610000.0,"100,000,000",Not Rated,50000.0,30 Mar – 11 Apr, 1 MOIL = 0.37 USD ,3610000.0,Ended: 11 Apr 2023 ,BEP-20,27%,,,USDT,,,11 Apr 2023,2023-04-11,1,moovy,moovy
753,KryptAI,100000.0,,Utility,Artificial Intelligence,,"1,000,000,000",Not Rated,221700000000.0,31 Mar – 9 Apr, 1 KAI = 0.000857 USD ,100000.0,Ended: 9 Apr 2023 ,Own blockchain,35%,,,USDT,,,9 Apr 2023,2023-04-09,0,kryptai,kryptai
754,Pomerium,20000000.0,,Utility,Gaming,,"1,000,000,000",Not Rated,,until 9 Apr,,20000000.0,Ended: 9 Apr 2023 ,BEP-20,,,,,,,9 Apr 2023,2023-04-09,0,pomerium,pomerium
755,ChainGPT,905000.0,,Utility,Artificial Intelligence,,"1,000,000,000",Not Rated,720000.0,5 Apr – 8 Apr, 1 CGPT = 0.008 USD ,905000.0,Ended: 8 Apr 2023 ,BEP-20,19%,,,USDT,,,8 Apr 2023,2023-04-08,1,chaingpt,chaingpt
756,Glory Finance,3500000.0,,Utility,DeFi,,"150,000,000",Not Rated,175000.0,4 Apr – 8 Apr, 1 GLR = 0.8 USD ,3500000.0,Ended: 8 Apr 2023 ,BEP-20,10%,,,USDT,,,8 Apr 2023,2023-04-08,1,gloryfinance,gloryfinance
757,Arken Finance,,,Utility,Blockchain Service,,"10,000,000,000",Not Rated,2250000.0,3 Apr – 6 Apr, 1 ARKEN = 0.004 USD ,,Ended: 6 Apr 2023 ,Own blockchain,,,,USDT,,,6 Apr 2023,2023-04-06,0,arkenfinance,arkenfinance
758,Stella Fantasy,5000000.0,,Utility,Gaming,,"1,000,000,000",Not Rated,150000.0,4 Apr – 5 Apr, 1 SFTY = 0.1 USD ,5000000.0,Ended: 5 Apr 2023 ,ERC20,"13,2%",,,USDT,,,5 Apr 2023,2023-04-05,1,stellafantasy,stellafantasy
759,WiFi Map,1700000.0,"$1,700,000 (100%) ",Utility,Platform,1700000.0,"1,000,000,000",Not Rated,500000.0,30 Mar – 1 Apr, 1 WIFI = 0.025 USD ,1700000.0,Ended: 1 Apr 2023 ,Polygon,"11,4%",,,USDT,,,1 Apr 2023,2023-04-01,1,wifimap,wifimap
760,Coniun,538000.0,"$700,000 (77%) ",Utility,Blockchain Service,700000.0,"100,000,000",Not Rated,315000.0,30 Mar – 31 Mar, 1 CONI = 0.045 USD ,538000.0,Ended: 31 Mar 2023 ,ERC20,19%,,,USDT,,,31 Mar 2023,2023-03-31,1,coniun,coniun
761,Alaska Gold Rush,150000.0,,Utility,Gaming,,"1,000,000,000",Not Rated,100000.0,29 Mar – 30 Mar, 1 CARAT = 0.03 USD ,150000.0,Ended: 30 Mar 2023 ,BEP-20,30%,,,USDT,,,30 Mar 2023,2023-03-30,1,alaskagoldrush,alaskagoldrush
762,ARTT Network,225000.0,"$230,000 (100%) ",Utility,Platform,230000.0,"2,000,000,000",Not Rated,100000.0,27 Mar – 30 Mar, 1 ARTT = 0.1 USD ,225000.0,Ended: 30 Mar 2023 ,BEP-20,,,,USDT,,,30 Mar 2023,2023-03-30,1,arttnetwork,arttnetwork
763,NuriTopia,,,Utility,Platform,,"5,000,000,000",Not Rated,120000.0,23 Mar – 24 Mar, 1 NBLU = 0.015 USD ,,Ended: 24 Mar 2023 ,BEP-20,8%,,,USDT,,,24 Mar 2023,2023-03-24,0,nuritopia,nuritopia
764,Mintlayer,5200000.0,,Utility,DeFi,,"400,000,000",Not Rated,100000.0,22 Mar – 23 Mar, 1 ML = 0.25 USD ,5200000.0,Ended: 23 Mar 2023 ,ERC20,"33,77%",,,USDT,,,23 Mar 2023,2023-03-23,1,mintlayer,mintlayer
765,OVO NFT Platform,,,Utility,Platform,,"240,000,000",Not Rated,150000.0,21 Mar – 22 Mar, 1 OVO = 0.16 USD ,,Ended: 22 Mar 2023 ,ERC20,"18,75%",,,USDT,,,22 Mar 2023,2023-03-22,0,ovonftplatform,ovonftplatform
766,Space ID,12500000.0,,Utility,Blockchain Service,,"2,000,000,000",Not Rated,2500000.0,17 Mar – 22 Mar, 1 ID = 0.025 USD ,12500000.0,Ended: 22 Mar 2023 ,BEP-20,,,,USDT,,,22 Mar 2023,2023-03-22,1,spaceid,spaceid
